CASRN	Compound	Hf
107-39-1	2,4,4-Trimethyl-1-pentene	-110400
66205-02-5	1-n-Hexyl-[1,2,3,4-Tetrahydronaphthalene]	-110250
10574-36-4	cis-3-Methyl-2-hexene	-110210
690-92-6	cis-2,2-Dimethyl-3-hexene	-109700
75-66-1	tert-Butanethiol	-109290
96-37-7	Methylcyclopentane	-106690
3404-58-8	3-Ethyl-1-Hexene	-105390
107-40-4	2,4,4-Trimethyl-2-pentene	-104900
74-98-6	Propane	-104690
13952-84-6	sec-Butylamine	-104190
16746-85-3	4-Ethyl-1-Hexene	-103680
4170-30-3	trans-Crotonaldehyde	-103600
124-11-8	1-Nonene	-103510
67-66-3	Chloroform	-103180
16746-86-4	2,3-Dimethyl-1-hexene	-103010
4914-91-4	cis-3,4-Dimethyl-2-pentene	-102090
13151-05-8	4-Methyl-1-Heptene	-102000
15890-40-1	1,c-2,t-3-Trimethylcyclopentane	-100160
19374-46-0	1,t-2,c-3-Trimethylcyclopentane	-100160
2613-70-9	1,t-2,c-4-Trimethylcyclopentane	-100160
2613-72-1	1,c-2,c-4-Trimethylcyclopentane	-100160
4259-00-1	1,1,2-Trimethylcyclopentane	-100160
4516-69-2	1,1,3-Trimethylcyclopentane	-100160
4850-28-6	1,c-2,t-4-Trimethylcyclopentane	-100160
16631-63-3	1-Methyl-1-n-propylcyclopentane	-99410
2721-38-2	1,1-Diethylcyclopentane	-99410
932-39-8	cis-1,2-Diethylcyclopentane	-99410
78-81-9	Isobutylamine	-98800
3788-32-7	Isobutylcyclopentane	-98070
1632-16-2	2-Ethyl-1-Hexene	-97000
15870-10-7	2-Methyl-1-heptene	-96940
108-95-2	Phenol	-96400
56-23-5	Carbon Tetrachloride	-95980
4914-92-5	trans-3,4-Dimethyl-2-Pentene	-95690
594-56-9	2,3,3-Trimethyl-1-butene	-95690
625-65-0	2,4-Dimethyl-2-pentene	-95690
75-09-2	Dichloromethane	-95520
13389-42-9	trans-2-Octene	-95300
3404-62-4	cis-5-Methyl-2-Hexene	-95270
7385-82-2	trans-5-Methyl-2-hexene	-95270
26232-98-4	cis-4,4-Dimethyl-2-pentene	-94730
690-08-4	trans-4,4-Dimethyl-2-pentene	-94730
14850-23-8	trans-4-Octene	-94600
14919-01-8	trans-3-Octene	-94600
7642-04-8	cis-2-Octene	-94510
696-29-7	Isopropylcyclohexane	-93810
7642-15-1	cis-4-Octene	-93720
14850-22-7	cis-3-Octene	-93710
7647-01-0	Hydrogen Chloride	-92310
109-73-9	n-Butylamine	-92050
17618-77-8	trans-3-Methyl-2-hexene	-88750
109-79-5	n-Butanethiol	-88070
2738-19-4	2-Methyl-2-hexene	-87950
816-79-5	3-Ethyl-2-Pentene	-87950
3899-36-3	trans-3-Methyl-3-hexene	-87160
4914-89-0	cis-3-Methyl-3-hexene	-87160
3404-72-6	2,3-Dimethyl-1-pentene	-85730
2213-32-3	2,4-Dimethyl-1-pentene	-84940
74-84-0	Ethane	-83850
75-31-0	Isopropylamine	-83800
352-93-2	3-Thiapentane	-83470
