CAS	Chemical	C1	C2	C3	C4	C5	Tmin	Tmax
108-18-9	Di-isopropyl amine  	0.1844	-0.000239	0	0	0	176.85	357.05
108-20-3	Di-isopropyl ether  	0.19162	-0.0002762	0	0	0	187.65	400.1
565-80-0	Di-isopropyl ketone  	0.22076	-0.00027624	0	0	0	204.81	460
534-15-6	1,1-Dimethoxyethane  	0.22078	-0.00031271	0	0	0	159.95	337.45
7778-85-0	1,2-Dimethoxypropane  	0.22998	-0.00030372	0	0	0	226.1	366.15
503-17-3	Dimethyl acetylene  	0.22773	-0.00034804	0	0	0	240.91	300.13
124-40-3	Dimethyl amine  	0.2454	-0.000338	0	0	0	180.96	403.15
79-29-8	2,3-Dimethylbutane  	0.1774	-0.0002436	0	0	0	145.19	331.15
590-66-9	1,1-Dimethylcyclohexane  	0.1807	-0.0002177	0	0	0	239.66	392.7
2207-01-4	cis-1,2-Dimethylcyclohexane  	0.18092	-0.0002108	0	0	0	223.16	402.94
6876-23-9	trans-1,2-Dimethylcyclohexane 	0.17675	-0.0002077	0	0	0	184.99	596.15
624-92-0	Dimethyl disulfide  	0.21373	-0.0002447	0	0	0	188.44	382.9
115-10-6	Dimethyl ether  	0.31174	-0.0005638	0	0	0	131.65	320.03
68-12-2	N,N-Dimethyl formamide  	0.26	-0.000255	0	0	0	250	425.15
565-59-3	2,3-Dimethylpentane  	0.17964	-0.000246	0	0	0	160	362.93
131-11-3	Dimethyl phthalate  	0.13905	0.0001509	-3.978E-07	0	0	273.15	556.85
1111-74-6	Dimethylsilane 	0.25547	-0.0004411	0	0	0	122.93	253.55
75-18-3	Dimethyl sulfide 	0.23942	-0.0003311	0	0	0	174.88	310.48
67-68-5	Dimethyl sulfoxide 	0.3142	-0.00030809	0	0	0	291.67	464
120-61-6	Dimethyl terephthalate 	0.21593	-0.00020805	0	0	0	413.8	561.15
123-91-1	1,4-Dioxane 	0.3027	-0.0004827	0	0	0	284.95	374.47
101-84-8	Diphenyl ether 	0.18686	-0.00014953	0	0	0	300.03	531.46
142-84-7	Dipropyl amine 	0.2224	-0.000314	0	0	0	210.15	382
112-40-3	Dodecane 	0.2047	-0.0002326	0	0	0	263.57	489.47
112-95-8	Eicosane 	0.2178	-0.0002233	0	0	0	309.58	616.93
74-84-0	Ethane 	0.35758	-0.0011458	6.1866E-07	0	0	90.35	300
64-17-5	Ethanol 	0.2468	-0.000264	0	0	0	159.05	353.15
141-78-6	Ethyl acetate 	0.2501	-0.0003563	0	0	0	189.6	350.21
75-04-7	Ethyl amine 	0.30059	-0.000581	6.602E-07	0	0	192.15	293.15
100-41-4	Ethylbenzene 	0.1999	-0.00023823	0	0	0	178.2	413.1
93-89-0	Ethyl benzoate 	0.20771	-0.00021265	0	0	0	238.45	549.4
88-09-5	2-Ethyl butanoic acid 	0.2175	-0.0002407	0	0	0	258.15	516.5
105-54-4	Ethyl butyrate 	0.21043	-0.00024903	0	0	0	175.15	453.15
1678-91-7	Ethylcyclohexane 	0.17662	-0.0002014	0	0	0	161.84	404.94
1640-89-7	Ethylcyclopentane 	0.18334	-0.0002228	0	0	0	134.71	376.62
74-85-1	Ethylene 	0.4194	-0.001591	1.306E-06	0	0	104	280
107-15-3	Ethylenediamine 	0.36434	-0.0004433	0	0	0	284.29	390.41
