CAS	Chemical	Tc	Pc	Vc	omega
6881-94-3	Diethylene glycol monopropyl ether	687	2999220	0.0005187	0.5547
75-50-3	Trimethylamine	433.2	4073265	0.000254	0.195
112-53-8	1-Dodecanol	717	1994000	0.000718	0.7202
126-33-0	Sulfolane	855	5029773	0.0003365	0.3463
141-43-5	Monoethanolamine	667.12	7573030	0.000196	0.5684
1081-77-2	Nonylbenzene	741	1899996	0.00079	0.6095
76-15-3	Chloroperfluoroethane [R115]	353.05	3125800	0.000252	0.2493
76-14-2	1,2-Dichlorotetrafluoroethane [R114]	418.85	3269758	0.0002931	0.246
75-43-4	Dichlorofluoromethane [R21]	451.6	5167575	0.000197	0.202
629-78-7	Heptadecane	735.9	1341543	0.001103	0.7564
141-79-7	4-Methyl-3-penten-2-one	597	3749025	0.000278	0.4004
110-65-6	2-Butyne-1,4-diol	691.67	5860638	0.00026	1.1282
628-55-7	Diisobutyl ether	562	2549996	0.000485	0.4179
76-37-9	2,2,3,3-Tetrafluoro-1-propanol	557.2	4850000	0.0002668	0.5383
583-58-4	3,4-Dimethylpyridine	683.8	4123928	0.000351	0.341
108-75-8	2,4,6-Trimethylpyridine	645	3201870	0.000427	0.4099
74-93-1	Methanethiol	470	7234605	0.000145	0.1488
115-10-6	Dimethyl ether	400	5370225	0.000164	0.2033
74-87-3	Methyl chloride	416.3	6677318	0.000139	0.1485
821-95-4	1-Undecene	637	1996103	0.000626	0.518
84-66-2	Phthalic acid diethyl ester	762.15	2330000	0.000642	0.7011
693-02-7	1-Hexyne	539.29	3762197	0.000331	0.146
630-19-3	2,2-Dimethylpropionaldehyde	523	3688230	0.00032	0.2999
5076-19-7	2-Methyl-2,3-epoxybutane	534.8	3399454	0.000301	0.196
123-75-1	Pyrrolidine	568.6	5613405	0.000249	0.2742
563-79-1	2,3-Dimethyl-2-butene	524	3363990	0.000351	0.239
696-29-7	Isopropylcyclohexane	640	2837100	0.00047	0.237
76-05-1	Trifluoroacetic acid	491.3	3258004	0.000204	0.54
592-76-7	1-Heptene	537.2	2837100	0.000405	0.3316
592-42-7	1,5-Hexadiene	507	3445050	0.000328	0.2417
105-66-8	Butanoic acid propyl ester	592.5	2799610	0.000442	0.4484
627-19-0	1-Pentyne	493.4	4053000	0.000278	0.164
629-97-0	Docosane	787	980000	0.001252	0.9423
103-73-1	Ethoxybenzene	647	3424775	0.000389	0.4153
112-14-1	Octyl acetate	661	1985970	0.0006538	0.537
110-63-4	1,4-Butanediol	727	6222000	0.000297	0.714
591-78-6	2-Hexanone	587	3323460	0.000374	0.3877
630-20-6	1,1,1,2-Tetrachloroethane [R130a]	626	4468432	0.000333	0.269
76-01-7	Pentachloroethane	646	3536243	0.000376	0.3478
96-48-0	gamma-Butyrolactone	731	5131000	0.000244	0.3425
589-81-1	3-Methylheptane	563.6	2550350	0.000464	0.3712
95-53-4	o-Methylaniline	710	4650818	0.000343	0.4017
79-27-6	1,1,2,2-Tetrabromoethane	806	6258845	0.000402	0.361
112-62-9	Methyl oleate	774.09	1278300	0.001092	0.9388
123-63-7	2,4,6-Trimethyl-1,3,5-trioxane	579	3499766	0.000365	0.4298
629-92-5	Nonadecane	756	1160000	0.001087	0.8486
553-90-2	Dimethyl oxalate	628	3982072	0.000326	0.558
