CASRN	Chemical	Tc	Pc	Vc	omega
20063-92-7	trans-3-nonene	593.62	2372000	0.0005248	0.411
20089-07-0	2-methyl-1-butanethiol, (+)	583.5	3418000	0.0003652	0.284
2009-74-7	6-methyl-3-hepteN-2-one	635	3160000	0.0004518	
2014-83-7	1,3-dichloro-2-(chloromethyl)-propane	597.58	3440000	0.0004005	0.362
20150-89-4	5,7-dimethylquinoline	786.16	3353000	0.0005145	0.497
2016-42-4	tetradecylamine	722	1660000	0.00084	0.861
2016-57-1	decylamine	663	2180000	0.000629	0.666
20177-02-0	2,5-dichloro-2-pentene	660	3500000	0.000376	
20184-89-8	3-nonyne	623.36	2707000	0.0005015	0.368
20184-91-2	4-nonyne	621.49	2696000	0.0005015	0.373
20193-20-8	ethylpropylamine	520	3400000	0.000345	0.393
20193-21-9	N-propylbutylamine	565.35	2919000	0.0004593	0.409
20198-49-6	4-methyl-2-hexyne	568.05	3372000	0.0003835	0.25
20232-11-5	6-methyl-1H-indene	693.5	3460000	0.0004345	0.332
20237-34-7	1,trans-3-hexadiene	526.7	3460000	0.0003325	0.266
20247-89-6	(1-methyl-1-pentenyl)benzene	723	2550000	0.0005863	
2026-48-4	(S)-(+)-2-amino-3-methyl-1-butanol	626.41	3790000	0.000368	0.841
2027-17-0	2-isopropylnaphthalene	770.24	2779000	0.0005715	0.463
2027-19-2	2-propylnaphthalene	772.44	2756000	0.0005775	0.488
20278-84-6	2,4,5-trimethylheptane	606.9	2239000	0.000544	0.397
20278-85-7	2,3,5-trimethylheptane	612.8	2239000	0.000547	0.397
20278-87-9	3,3,4-trimethylheptane	622.1	2371000	0.000526	0.365
20278-88-0	3,4,4-trimethylheptane	620.9	2371000	0.000524	0.365
20278-89-1	3,4,5-trimethylheptane	612.8	2239000	0.000547	0.417
20281-83-8	3-methyl-1-pentanol, (±)	581.8	3461000	0.0003774	0.582
20281-85-0	2,3-dimethyl-1-butanol, (±)-	581.8	3461000	0.0003774	0.582
20281-86-1	(RS)-2-hexanol	581.8	3461000	0.0003774	0.582
20281-91-8	3,3-dimethyl-2-butanol, (±)	581.8	3461000	0.0003774	0.582
20291-60-5	2-thiaoctane	638.37	2851000	0.0004815	0.42
20291-61-6	2-thianonane	660.72	2579000	0.0005375	0.465
20291-91-2	3-ethyl-2,2-dimethylhexane	611.7	2310000	0.000526	0.369
20291-95-6	2,2,5-trimethylheptane	598	2168000	0.000559	0.389
20294-76-2	1,2-octadecanediol	814.33	1318000	0.0010755	1.135
