CASRN	Chemical	Tc	Pc	Vc	omega
7225-64-1	9-octylheptadecane	826.84	764000	0.0015065	
7225-66-3	7-hexyltridecane	748.87	1095000	0.0011483	0.741
7225-71-0	1-undecylnaphthalene	846.34	1400000	0.0010255	0.787
72312-48-2	1,2,3-trimethylcyclohexene	620	2860000	0.0004518	
72345-23-4	(2S,4S)-(+)-pentanediol	633.16	4422000	0.0003429	1.144
7239-24-9	dimethylisobutylamine	523.11	3273000	0.0004035	0.361
7261-70-3	N-hexylethylenediamine	715	3150000	0.0005253	
7286-40-0	3-nitrohexane	639	3178000	0.0004475	0.523
7289-44-3	2-thiatridecane	733.68	1806000	0.0007615	0.631
7289-45-4	2-thiahexadecane	775.15	1434000	0.0009295	0.729
7289-52-3	1-methoxy-decane	640	1953000	0.0006455	0.656
7294-05-5	2,2,3-trimethyl-3-pentanol	587.7	2903000	0.0004805	0.639
7300-03-0	3-methyl-3-heptene	564.74	2694000	0.0004588	0.328
7307-55-3	undecylamine	682	2020000	0.000682	0.707
7307-58-6	diethyltetradecylamine	723.91	1183000	0.0010815	0.804
7309-44-6	3-thianonane	660.72	2579000	0.0005375	0.465
7311-30-0	methyldodecylamine	696.8	1690000	0.000785	0.726
7317-85-3	ethyloctadecylamine	773.9	1050000	0.00117	0.981
7318-67-4	1,cis-4-hexadiene	514.53	3460000	0.0003325	0.266
73180-09-3	1-fluorotetradecane	688.7	1430000	0.000828	0.667
7319-00-8	1,trans-4-hexadiene	514.53	3460000	0.0003325	0.266
732-26-3	2,4,6-tri-tert-butylphenol	770	1700000	0.0008549	
7321-48-4	cis-4-chloro-4-octene	640.48	2574000	0.0005125	0.43
73210-25-0	2,2,5-trimethylcyclohexanol	655	3390000	0.0004788	
7327-60-8	nitrilotrisacetonitrile	823	2640000	0.000485	0.924
7328-91-8	2,2-dimethyl-1,3-propanediamine	637.67	4210000	0.000358	0.591
73398-15-9	3-ethyl-2-methyl-1,5-hexadiene	616	3280000	0.0004007	
7344-34-5	4-methyl-1H-indene	693.5	3460000	0.0004345	0.332
7348-71-2	1-bromo-trans-2-pentene	597.03	4021000	0.0003575	0.357
7348-78-9	1-bromo-cis2-pentene	597.03	4021000	0.0003575	0.357
73513-50-5	2-methyl-3-hexenoic acid	716	2900000	0.0004518	
73548-71-7	4,5-dimethyl-2-hexene	564.74	2694000	0.0004588	0.328
73548-72-8	6-methyl-2-heptene	564.74	2694000	0.0004588	0.328
7357-93-9	3-methyl-2-ethyl-1-butene	535.82	2970000	0.0004035	0.288
7359-72-0	1,2,3-trichloro-4-methylbenzene	737	3340000	0.000447	0.26
73642-91-8	1,2-dibromononane	729.44	2668000	0.0006575	0.659
7367-38-6	5-butyl-4-nonene	674.44	1739000	0.0007508	0.592
7372-85-2	2,5-dimethylbiphenyl	792.44	3136000	0.000593	0.458
7372-86-3	2-methyl-6-ethylnaphthalene	766.56	2713000	0.0005775	0.488
7372-92-1	7-methyl-1H-indene	693.5	3460000	0.0004345	0.332
7373-13-9	2-octadecanone	758.47	1203000	0.0010495	0.838
7378-99-6	dimethyloctylamine	650.6	2120000	0.00062	0.415
7379-12-6	2-methyl-3-hexanone	583.8	3022000	0.0004275	0.451
7383-90-6	3,4'-dimethylbiphenyl	808.3	3130000	0.000593	0.414
7385-78-6	3,4-dimethyl-1-pentene	528.31	2980000	0.0003965	0.283
7385-82-2	5-methyl-trans-2-hexene	536.72	2986000	0.0004015	0.302
7397-06-0	4-tert-butyl-o-xylene	697.15	2361000	0.000602	0.437
7399-49-7	1-methyl-2-(1-methylethenyl)benzene	647.11	2944000	0.0005255	0.39
7399-50-0	2-(1-ethylpropyl)pyridine	693	2700000	0.000535	
74-31-7	N,N'-diphenyl-p-phenylenediamine	1017	2310000	0.000817	0.859
74-82-8	methane	190.56	4599000	0.0000986	0.012
74-83-9	methyl bromide	467	8000000	0.000156	0.192
74-84-0	ethane	305.32	4872000	0.0001455	0.1
74-85-1	ethylene	282.34	5041000	0.000131	0.086
74-86-2	acetylene	308.3	6138000	0.000112	0.191
74-87-3	methyl chloride	416.25	6680000	0.000143	0.153
74-88-4	methyl iodide	528	7370000	0.000185	0.197
74-89-5	methylamine	430.05	7460000	0.000154	0.281
74-90-8	hydrogen cyanide	456.65	5390000	0.000139	0.41
74-93-1	methyl mercaptan	469.95	7230000	0.000145	0.158
74-95-3	dibromomethane	611	7170000	0.000223	0.21
74-96-4	bromoethane	503.8	6230000	0.000215	0.255
74-97-5	bromochloromethane	557	6470000	0.000204	0.206
74-98-6	propane	369.83	4248000	0.0002	0.152
74-99-7	methylacetylene	402.4	5630000	0.000164	0.212
7409-44-1	heptyloxyethanol	654	2640000	0.0005407	
74112-36-0	2-methylheptyl acetate	650.6	2080000	0.0006175	0.574
7415-31-8	1,3-dichloro-trans-2-butene	618	3780000	0.000325	0.242
7417-48-3	3-methyl-1,2-pentadiene	528.84	3651000	0.0003335	0.239
7423-69-0	3,5-dimethyl-1-hexene	551.31	2690000	0.0004525	0.327
7425-14-1	2-ethylhexyl 2-ethylhexanoate	721	1500000	0.0008717	
7429-90-5	aluminum	9300	570000000	0.000039	-0.3054
7429-91-6	dysprosium	8561.5			
7433-56-9	trans-5-decene	616.98	2185000	0.0005813	0.457
7433-78-5	cis-5-decene	616.98	2185000	0.0005813	0.457
7435-50-9	1,3,6,7-tetramethylnaphthalene	810.54	2389000	0.0006335	0.535
7439-88-5	iridium	15035	7235600000	0.00000518	
7439-89-6	iron	9340	1015000000	0.000028	-0.0106
7439-90-9	krypton	209.35	5502000	0.0000912	
7439-91-0	lanthanum	9511	546000000	0.0000365	
7439-92-1	lead	5400	86130000	0.0000932	
7439-93-2	lithium	2966	21787000	0.0003297	-0.0556
7439-94-3	lutetium	4128.66	516290000	0.00001995	
7439-95-4	magnesium	2241.04	280240000	0.00001995	
7439-96-5	manganese	6902.82	487170000	0.00003534	
7439-97-6	mercury	1735	160800000	0.000035	-0.1644
7439-98-7	molybdenum	9620	1034900000	0.0000383	0.924
7440-00-8	neodymium	10665.1	689210000	0.0000386	
7440-01-9	neon	44.4	2653000	0.0000417	-0.0395
7440-02-0	nickel	6986.15	491850000	0.00003543	
7440-03-1	niobium	17904.1	1041800000	0.00004287	
7440-04-2	osmium	16878.7	993890000	0.00004236	
7440-05-3	palladium	10669.1	689410000	0.0000386	
7440-06-4	platinum	6983	810590000	0.0007591	
7440-07-5	plutonium	11130.13			
7440-08-6	polonium	3013.08	251530000	0.00002988	0.011
7440-09-7	potassium	2223	16000000	0.000209	-0.2028
7440-10-0	praseodymium	12306.26			
7440-12-2	promethium	10228.86			
7440-14-4	radium	4862.82	368430000	0.00003292	
7440-15-5	rhenium	21482.8	1204700000	0.0000321	
7440-16-6	rhodium	12906.6	802440000	0.00004012	
7440-17-7	rubidium	2093	16000000	0.000247	
7440-18-8	ruthenium	15247.1	916500000	0.0000415	
7440-19-9	samarium	5082.92	381670000	0.00003322	
7440-20-2	scandium	8035.08	549900000	0.00003645	
7440-21-3	silicon	5159	53700000	0.0002326	1.514
7440-22-4	silver	6410	481000000	0.000339	0.1499
7440-23-5	sodium	2573	35464000	0.000116	-0.1055
7440-24-6	strontium	4267.2	331980000	0.00003206	
7440-25-7	tantalum	19900.9	1133400000	0.0000438	
7440-26-8	technetium	17400.8	1018300000	0.00004262	
7440-27-9	terbium	11138.1			
7440-28-0	thallium	4648.06	355400000	0.00003262	
7440-29-1	thorium	17668.05			
7440-30-4	thulium	6283.16	451970000	0.00003468	
7440-31-5	tin (white)	7400	609980000	0.0001151	0.101
7440-32-6	titanium	6400	701020000	0.00002277	0.915
7440-33-7	tungsten	14756	1149700000	0.0000339	0.077
7440-34-8	actinium	11010.67			
7440-35-9	americium	6514.79			
7440-36-0	antimony	5070	386560000	0.00003272	
7440-37-1	argon	150.86	4898000	0.00007459	0
7440-38-2	arsenic	1673	22300000	0.000035	-0.368
7440-39-3	barium	3572.13	38140000	0.00023362	0.264
7440-41-7	beryllium	5205	39200000	0.0003115	0.2274
7440-42-8	boron	7934.59	841750000	0.00002351	0.826
7440-43-9	cadmium	2291	86170000	0.0000379	0.05
7440-44-0	carbon (amphorous)	6810	223000000	0.0000188	0.3268
7440-45-1	cerium	11993.8			
7440-46-2	cesium	1938	9400000	0.000341	
7440-47-3	chromium	8560.93	578410000	0.00003692	
7440-48-4	cobalt	7398.48	514870000	0.00003584	
7440-50-8	copper	5123	641550000	0.000061	
7440-52-0	erbium	9714.25			
7440-53-1	europium	5150	354790000	0.00003621	
7440-54-2	gadolinium	11309.81			
7440-55-3	gallium	7620	512630000	0.0000753	
7440-56-4	germanium	9803	651100000	0.000045	-0.0715
7440-57-5	gold	4398	635440000	0.0000503	
7440-58-6	hafnium	16861.98			
7440-59-7	helium-4	5.2	228000	0.0000573	-0.39
7440-60-0	holmium	9067.21			
7440-61-1	uranium	13712.6	842160000	0.00004062	
7440-62-2	vanadium	11325	1031400000	0.0000328	-0.2408
7440-63-3	xenon	289.74	5840000	0.000118	0
7440-64-4	ytterbium	4365.92	338090000	0.00003221	
7440-65-5	yttrium	9381.32	622200000	0.00003761	
7440-66-6	zinc	3170	290400000	0.000033	0.0459
7440-67-7	zirconium	8802	936460000	0.00002345	0.859
7440-68-8	astatine	1096.37	123630000	0.00002212	0.641
7440-69-9	bismuth	4620	77000000	0.000104	-0.2366
7440-70-2	calcium	3267	15300000	0.0005171	0.1167
7440-73-5	francium	1606.46	179020000	0.00002238	0.682
7440-74-6	indium	6730	243200000	0.0000826	
74421-05-9	2,4-dimethyl-2,4-heptadiene	616	3280000	0.0004007	
7443-52-9	trans-2-methylcyclohexanol	617	3790000	0.000374	0.679
7443-55-2	trans-3-methylcyclohexanol	627	3790000	0.000374	0.681
7443-70-1	cis-2-methylcyclohexanol	614	3790000	0.000374	0.681
7446-07-3	tellurium dioxide	2463.1	75605000	0.00007096	
7446-08-4	selenium dioxide	961.16	7926000	0.0003025	0.291
7446-09-5	sulfur dioxide	430.75	7884000	0.000122	0.2453
7446-11-9	sulfur trioxide	490.85	8210000	0.000127	0.424
7446-70-0	aluminum chloride	629	2630000	0.000261	0.3555
7447-39-4	cupric chloride	2010	17004000	0.00029485	0.623
7447-40-7	potassium chloride	3470	18000000	0.000625	-0.1212
7447-41-8	lithium chloride	2695.68	22229000	0.0003025	0.596
7452-79-1	ethyl sec-pentanoate	587.95	2840000	0.000442	0.407
74581-94-5	2-ethyl-3-methylhexanoic acid	703	2450000	0.000547	0.831
7461-19-0	1-bromohexatriacontane	1029.64	472000	0.0021135	
74683-66-2	2-nonanol, (±)	614.43	2585000	0.0005431	0.768
74742-08-8	3-nonanol, (±)	614.43	2585000	0.0005431	0.768
74742-10-2	2-decanol, (±)	629	2355000	0.000598	0.793
74744-28-8	1-undeceN-3-yne	640	2500000	0.0005441	
74744-36-8	1-dodeceN-3-yne	655	2200000	0.0006303	
74764-56-0	5-ethyl-4-methyl-5-hepteN-3-one	675	2560000	0.0005842	
74778-22-6	4-octanol, (±)	600.92	2849000	0.000488	0.733
7487-94-7	mercuric chloride	973	7751000	0.0003025	0.284
74926-97-9	2-sec-butyl-6-isopropylphenol	762.67	2397000	0.0006777	0.621
74926-98-0	2-isopropyl-6-(1-methylbutyl)phenol	765	2280000	0.000704	0.631
7493-82-5	pentyl heptanoate	667	1893000	0.0007173	0.699
75-00-3	ethyl chloride	460.35	5270000	0.0002	0.19
75-01-4	vinyl chloride	432	5670000	0.000179	0.1
75-02-5	vinyl fluoride	327.8	5240000	0.000144	0.143
75-03-6	ethyl iodide	561	5990000	0.000238	0.224
75-04-7	ethylamine	456.15	5620000	0.000207	0.285
75-05-8	acetonitrile	545.5	4833000	0.000173	0.338
75-07-0	acetaldehyde	466	5550000	0.000154	0.291
75-08-1	ethyl mercaptan	499.15	5490000	0.000207	0.188
75-09-2	dichloromethane	510	6080000	0.000185	0.199
75-10-5	difluoromethane	351.26	5784000	0.000123	0.277
75-11-6	diiodomethane	747	5470000	0.000272	0.141
75-12-7	formamide	771	7800000	0.000163	0.453
75-15-0	carbon disulfide	552	7900000	0.00016	0.1107
75-18-3	dimethyl sulfide	503.04	5530000	0.000201	0.194
75-19-4	cyclopropane	397.91	5495000	0.0001628	0.127
75-21-8	ethylene oxide	469.15	7190000	0.0001403	0.197
75-24-1	trimethyl aluminum	620	4000000	0.000271	0.218
75-25-2	bromoform	696	6090000	0.000286	0.156
75-26-3	2-bromopropane	532	5510000	0.000266	0.243
75-28-5	isobutane	407.8	3640000	0.000259	0.184
75-29-6	2-chloropropane	489	4540000	0.000247	0.199
75-30-9	2-iodopropane	578	5120000	0.00029	0.238
75-31-0	isopropylamine	471.85	4540000	0.000221	0.276
75-33-2	2-propanethiol	517	4750000	0.000254	0.214
75-34-3	1,1-dichloroethane	523	5070000	0.00024	0.234
75-35-4	1,1-dichloroethylene	482	5190000	0.000224	0.272
75-36-5	acetyl chloride	508	5700000	0.000196	0.334
75-37-6	1,1-difluoroethane	386.44	4520000	0.000179	0.275
75-38-7	1,1-difluoroethylene	302.8	4460000	0.000154	0.136
75-39-8	1-aminoethanol	638	6870000	0.000225	0.797
75-43-4	dichlorofluoromethane	451.58	5184000	0.000196	0.205
75-44-5	phosgene	455	5674000	0.0001902	0.201
75-45-6	chlorodifluoromethane	369.3	4971000	0.000166	0.219
75-46-7	fluoroform	299.01	4816000	0.000132	0.264
75-47-8	iodoform	794.55	5312000	0.0003495	0.193
75-50-3	trimethylamine	433.25	4073000	0.000254	0.209
75-52-5	nitromethane	588.15	6313000	0.0001734	0.348
75-54-7	methyl dichlorosilane	483	3950000	0.000289	0.276
75-55-8	propyleneimine	529	5420000	0.000208	0.257
75-56-9	1,2-propylene oxide	482.25	4920000	0.000186	0.268
75-61-6	dibromodifluoromethane	478	4070000	0.000249	0.108
75-62-7	bromotrichloromethane	606	4970000	0.000284	0.192
75-63-8	bromotrifluoromethane	340.15	3970000	0.0002	0.17
75-64-9	tert-butylamine	483.9	3840000	0.000293	0.275
75-65-0	tert-butanol	506.21	3973000	0.000275	0.612
75-66-1	tert-butyl mercaptan	530	4060000	0.000307	0.191
75-68-3	1-chloro-1,1-difluoroethane	410.29	4041000	0.000225	0.231
75-69-4	trichlorofluoromethane	471.2	4408000	0.000248	0.189
75-71-8	dichlorodifluoromethane	384.95	4125000	0.000217	0.18
75-72-9	chlorotrifluoromethane	302	3870000	0.0001803	0.172
75-73-0	carbon tetrafluoride	227.5	3740000	0.00014	0.179
75-75-2	methanesulfonic acid			0.00022	
75-76-3	tetramethylsilane	450.4	2814000	0.000357	0.224
75-77-4	chlorotrimethylsilane	497.75	3200000	0.000366	0.2701
75-78-5	dichlorodimethylsilane	520.35	3490000	0.000358	0.268
75-79-6	methyl trichlorosilane	517	3530000	0.00034	0.263
75-83-2	2,2-dimethylbutane	489	3100000	0.000358	0.234
75-84-3	2,2-dimethyl-1-propanol	550	3880000	0.000327	0.604
75-85-4	tert-pentyl-alcohol	543.7	3710000	0.000327	0.479
75-86-5	acetone cyanohydrin	620	4250000	0.000296	0.767
75-87-6	trichloroacetaldehyde	565	4410000	0.000288	0.332
75-88-7	2-chloro-1,1,1-trifluoroethane	430	4078000	0.000238	0.247
75-91-2	t-butyl hydroperoxide	576	4340000	0.00029	0.668
75-94-5	trichlorovinylsilane	543.15	3060000	0.000408	0.282
75-97-8	3,3-dimethyl-2-butanone	564	3320000	0.000368	0.327
75-98-9	2,2-dimethylpropanoic acid	632	3890000	0.000336	0.513
7515-62-0	5-bromo-trans-2-pentene	600.04	4021000	0.0003575	0.357
7515-80-2	N-tert-butylisopropylamine	565.35	2919000	0.0004593	0.409
7516-82-7	methyldecylamine	666.6	1990000	0.000675	0.66
7524-63-2	1,2,3,4-tetrahydro-2,6-dimethylnaphthalene	737.62	2773000	0.0005485	0.424
7525-62-4	m-ethylstyrene	676.81	3019000	0.0004685	0.376
753-89-9	1-chloro-2,2-dimethylpropane	546.97	3396000	0.0003535	0.239
7540-51-4	(-)-b-citronellol	656.59	2236000	0.0006015	0.612
7550-35-8	lithium bromide	2578.42	21262000	0.0003025	0.583
7550-45-0	titanium tetrachloride	638	4661000	0.00034	0.2837
7553-56-2	iodine	819.15	11654000	0.000155	0.1115
75579-88-3	5-methylheptanal	614	2565000	0.000474	0.534
7564-63-8	o-ethylstyrene	672.78	3019000	0.0004685	0.376
757-88-0	1,1-dimethylpropyl formate	570	3210000	0.000384	0.351
7581-97-7	2,3-dichlorobutane, dl and meso	599	3740000	0.000343	0.268
7596-92-1	1-bromodotriacontane	961.8	561000	0.0018895	
76-01-7	pentachloroethane	665	3680000	0.000369	0.246
76-02-8	trichloroacetyl chloride	590	4100000	0.000332	0.35
76-03-9	trichloroacetic acid	688	4810000	0.000309	0.554
76-05-1	trifluoroacetic acid	491.25	3258000	0.000204	0.524
76-09-5	2,3-dimethyl-2,3-butanediol	597.11	4047000	0.0003875	1.03
76-11-9	1,1,1,2-tetrachloro-2,2-difluoroethane	552	3340000	0.000351	0.257
76-12-0	1,1,2,2-tetrachloro-1,2-difluoroethane	551	3340000	0.000351	0.279
76-13-1	1,1,2-trichloro-1,2,2-trifluoroethane	487.25	3410000	0.000325	0.252
76-14-2	1,2-dichloro-1,1,2,2-tetrafluoroethane	418.85	3260000	0.000294	0.252
76-15-3	chloropentafluoroethane	353.15	3157000	0.000252	0.251
76-16-4	hexafluoroethane	292.8	2980000	0.000224	0.249
76-19-7	octafluoropropane	345.05	2680000	0.000299	0.327
76-22-2	camphor	709	2990000	0.000505	0.319
76-35-7	2,2-dimethyl-1,3-butanediol	630.45	3991000	0.0003925	1.105
760-20-3	3-methyl-1-pentene	495	3290000	0.0003433	0.264
760-21-4	2-ethyl-1-butene	511	3300000	0.000343	0.252
760-23-6	3,4-dichloro-1-butene	589	3850000	0.00033	0.3
7601-90-3	perchloric acid	631	3860000	0.000168	0.0498
7611-86-1	cis-1-chloro-1-butene	521.07	3971000	0.0002885	0.252
7611-87-2	trans-1-chloro-1-butene	528.19	3971000	0.0002885	0.252
7611-88-3	cis-1-chloro-2-methyl-1-butene	553.1	3552000	0.0003455	0.271
7611-89-4	trans-1-chloro-2-methyl-1-butene	553.1	3552000	0.0003455	0.271
7614-93-9	1,3-diphenyl-1-butene	790.85	2415000	0.0006965	0.509
7616-94-6	perchloryl fluoride	368.4	5370000	0.000161	0.1726
762-50-5	1-chloro-2-fluoroethane	511	4492000	0.000215	0.251
762-62-9	4,4-dimethyl-1-pentene	520.28	2989000	0.0003975	0.253
762-63-0	4,4-dimethyl-cis2-pentene	534.97	3080000	0.0003885	0.244
762-75-4	tert-butyl formate	537	3580000	0.000334	0.294
763-29-1	2-methyl-1-pentene	505	3190000	0.000343	0.261
763-30-4	2-methyl-1,4-pentadiene	493.39	3440000	0.0003345	0.251
763-32-6	3-methyl-3-buteN-1-ol	573	4550000	0.0002584	
763-69-9	ethyl-3-ethoxypropionate	621	2660000	0.000458	0.497
763-89-3	4-methyl-3-penteN-1-ol	587	3900000	0.0003038	
763-93-9	3-hexeN-2-one	595	3960000	0.0003428	
7631-99-4	sodium nitrate	1321			
7632-51-1	vanadium tetrachloride	697	6030000	0.000268	0.1858
7637-07-2	boron trifluoride	260.9	4990000	0.000115	0.4337
764-13-6	2,5-dimethyl-2,4-hexadiene	597	2740000	0.000425	0.322
764-35-2	2-hexyne	549	3530000	0.000331	0.221
764-39-6	2-pentenal	570	4100000	0.0002715	
764-41-0	1,4-dichloro-2-butene	640	3798000	0.000332	0.302
764-42-1	trans-2-butenedinitrile	657	3730000	0.000287	0.557
764-47-6	propyl vinyl ether	505.58	3597000	0.0003135	0.323
764-84-1	1,1,1-trifluorododecane	638.2	1650000	0.000742	0.597
764-93-2	1-decyne	619.85	2370000	0.000552	0.518
764-96-5	cis-5-undecene	637.84	2023000	0.0006378	0.504
764-97-6	trans-5-undecene	637.84	2023000	0.0006378	0.504
7641-77-2	hexamethyldewarbenzene	697.15	2361000	0.000602	0.437
7642-04-8	cis-2-octene	572	2590000	0.000461	0.389
7642-09-3	cis-3-hexene	509	3170000	0.000351	0.279
7642-10-6	cis-3-heptene	545	2840000	0.000421	0.295
7642-15-1	cis-4-octene	568	2590000	0.000461	0.385
76444-23-0	citronellyl propionate	716	1900000	0.0007174	
7646-78-8	stannic chloride	591.9	3750000	0.000351	0.14
7646-79-9	cobalt chloride	2154.97	17770000	0.0003025	0.53
7646-85-7	zinc chloride	1637.05	13499000	0.0003025	0.448
7647-01-0	hydrogen chloride	324.65	8310000	0.000081	0.1315
7647-14-5	sodium chloride	3400	35500000	0.000266	0.1894
7647-15-6	sodium bromide	4287	19252000	0.000398	-0.7998
7647-17-8	cesium chloride	2562.13	21127000	0.0003025	0.581
7647-18-9	antimony pentachloride	662.54	3942000	0.00038286	0.129
7647-19-0	phosphorus (V) fluoride	296.31	3723000	0.00017338	
765-03-7	1-dodecyne	668.16	2025000	0.0006695	0.512
765-04-8	1,11-undecanediol	731.93	2289000	0.0006895	1.339
765-05-9	decyl vinyl ether	686	2100000	0.0006728	
765-09-3	1-bromotridecane	739.06	1740000	0.0008255	0.726
765-10-6	1-tetradecyne	689.9	1660000	0.000772	0.665
765-13-9	1-pentadecyne	711.41	1587000	0.0008375	0.628
765-14-0	dodecyl vinyl ether	726	1900000	0.0007808	
765-27-5	1-eicosyne	769.79	1119000	0.0011175	0.75
765-38-8	2-methylpyrrolidine	550	4200000	0.000298	0.227
765-47-9	1,2-dimethylcyclopentene	579.44	3432000	0.0003535	0.245
766-07-4	cyclohexyl peroxide	685	4210000	0.000342	0.751
766-90-5	cis-1-propenylbenzene	671	3360000	0.000407	0.341
766-92-7	[(methylthio)methyl]benzene	725.28	3830000	0.0004295	0.374
766-95-0	2,5-diethyl-1H-pyrrole	670	3750000	0.00039	
7661-55-4	5-methylquinoline	782.28	3829000	0.0004585	0.452
7664-38-2	phosphoric acid	1030	5070000	0.00034	
7664-39-3	hydrogen fluoride	461.15	6480000	0.000069	0.3822
7664-41-7	ammonia	405.65	11280000	0.00007247	0.2526
7664-93-9	sulfuric acid	924	6400000	0.0001777	0.494
7667-51-8	N-nonacontane	1197.73	191000	0.005387	
7667-55-2	1,cis-2,trans-3-trimethylcyclohexane	626.3	2649000	0.0004705	0.28
7667-58-5	1,cis-2,trans-4-trimethylcyclohexane	621.87	2649000	0.0004705	0.28
7667-59-6	1,trans-2,cis-4-trimethylcyclohexane	617.44	2649000	0.0004705	0.28
7667-60-9	1,trans-2,trans-4-trimethylcyclohexane	611.86	2649000	0.0004705	0.28
7667-76-7	N-henpentacontane	1078.87	347000	0.0030587	
7667-78-9	N-octapentacontane	1109.34	319000	0.0034766	
7667-79-0	N-nonapentacontane	1113.53	315000	0.0035363	
7667-80-3	N-hexacontane	1116.67	311000	0.003596	
7667-81-4	N-henhexacontane	1120.85	307000	0.0036557	
7667-82-5	N-henheptacontane	1153.18	267000	0.0042527	
7667-83-6	N-doheptacontane	1156.3	263000	0.0043124	
7667-84-7	N-triheptacontane	1159.41	259000	0.0043721	
7667-85-8	N-tetraheptacontane	1161.49	255000	0.0044318	
7667-86-9	N-pentaheptacontane	1164.61	251000	0.0044915	
7667-87-0	N-hexaheptacontane	1166.68	247000	0.0045512	
7667-88-1	N-octacontane	1177.05	231000	0.00479	
7667-89-2	N-henoctacontane	1179.12	227000	0.0048497	
7667-90-5	N-trioctacontane	1183.26	219000	0.0049691	
7667-91-6	N-tetraoctacontane	1185.33	215000	0.0050288	
7667-92-7	N-hexaoctacontane	1189.47	207000	0.0051482	
7667-93-8	N-heptaoctacontane	1191.53	203000	0.0052079	
7667-94-9	N-octaoctacontane	1193.6	199000	0.0052676	
7667-95-0	N-dononacontane	1201.86	183000	0.0055064	
7667-96-1	N-trinonacontane	1203.92	179000	0.0055661	
7667-97-2	N-pentanonacontane	1207.01	171000	0.0056855	
767-12-4	3,3-dimethylcyclohexanol	645	3590000	0.0004482	
767-54-4	trans-3,3,5-trimethylcyclohexanol	655	3390000	0.0004788	
767-59-9	1-methylindene	703	3460000	0.000436	0.335
767-60-2	3-methyl-1H-indene	693.5	3460000	0.0004345	0.332
767-99-7	cis-(1-methyl-1-propenyl)benzene	654	3010000	0.000464	0.361
7670-25-9	N-heptanonacontane	1210.1	163000	0.0058049	
7670-26-0	N-octanonacontane	1212.16	159000	0.0058646	
7670-27-1	N-nonanonacontane	1213.19	155000	0.0059243	
768-00-3	trans-(1-methyl-1-propenyl)benzene	685	3010000	0.00047	0.356
768-49-0	(2-methyl-1-propenyl)benzene	681.41	3121000	0.0004685	0.341
768-52-5	N-isopropylaniline	705.58	3284000	0.000482	0.413
768-56-9	3-butenylbenzene	682.45	3088000	0.0004673	0.356
7681-11-0	potassium iodide	3610	9730000	0.00066	-0.4198
7681-49-4	sodium fluoride	5530	53196000	0.000185	-1.1147
7681-65-4	copper iodide	2620.77	21611000	0.0003025	0.588
7681-82-5	sodium iodide	3950	13900000	0.000505	-0.575
7688-21-3	cis-2-hexene	513	3160000	0.000359	0.272
769-06-2	N,N,2,6-tetramethylaniline	690	2985000	0.0005255	0.69
769-25-5	2-vinyl-1,3,5-trimethylbenzene	703	2800000	0.0005213	
769-92-6	4-tert-butylaniline	690	2985000	0.0005255	0.69
7696-51-7	2-isopropylpyrrole	650	4050000	0.0003503	
7697-37-2	nitric acid	520	6890000	0.000145	0.7144
77-47-4	hexachlorocyclopentadiene	746	3010000	0.000526	0.383
77-73-6	1,3-dicyclopentadiene	660	3060000	0.000445	0.288
77-74-7	3-methyl-3-pentanol	575.6	3520000	0.00038	0.432
77-78-1	dimethyl sulfate	716	7010000	0.000293	0.439
77-84-9	2-methyl-2-ethyl-1,3-propanediol	658.33	3951000	0.0003985	1.14
77-92-9	citric acid	822	3798000	0.0004197	1.845
77-99-6	trimethylolpropane	709	3910000	0.000416	1.543
7704-34-9	sulfur	1314	11755000	0.000158	0.2463
7705-07-9	titanium (III) chloride	1971.57	17720000	0.00024236	
7705-08-0	ferric chloride	948.15	4300000	0.0003025	0.1741
77053-92-0	5-methyl-2-hexenol	601	3500000	0.000341	
7712-60-9	5-chloro-2-methyl-2-pentene	583.61	3160000	0.0004005	0.341
7713-69-1	methyl-sec-butylamine	519.9	3620000	0.000341	0.397
7719-09-7	thionyl chloride	567	4430000	0.000208	0.0946
7719-12-2	phosphorus (III) chloride	563.15	5670000	0.00026	0.2344
7719-76-8	N-nonaoctacontane	1195.66	195000	0.0053273	
7719-79-1	N-dopentacontane	1083.08	343000	0.0031184	
7719-80-4	N-tripentacontane	1088.34	339000	0.0031781	
7719-82-6	N-hexapentacontane	1100.95	327000	0.0033572	
7719-83-7	N-dohexacontane	1125.03	303000	0.0037154	
7719-84-8	N-trihexacontane	1128.17	299000	0.0037751	
7719-85-9	N-octaheptacontane	1171.87	239000	0.0046706	
7719-86-0	N-nonaheptacontane	1174.98	235000	0.0047303	
7719-87-1	N-tetrahexacontane	1131.3	295000	0.0038348	
7719-88-2	N-pentahexacontane	1134.43	291000	0.0038945	
7719-89-3	N-hexahexacontane	1138.6	287000	0.0039542	
7719-90-6	N-heptahexacontane	1141.73	283000	0.0040139	
7719-91-7	N-octahexacontane	1144.85	279000	0.0040736	
7719-92-8	N-nonahexacontane	1147.98	275000	0.0041333	
7719-93-9	N-heptacontane	1151.1	271000	0.004193	
7719-94-0	N-heptaheptacontane	1169.79	243000	0.0046109	
7719-95-1	N-dooctacontane	1181.19	223000	0.0049094	
7719-96-2	N-pentaoctacontane	1187.4	211000	0.0050885	
7719-97-3	N-hennonacontane	1199.79	187000	0.0054467	
7720-83-4	titanium (IV) iodide	1040	6088000	0.000505	
7721-01-9	tantalum (V) chloride	767		0.000402	
7722-84-1	hydrogen peroxide	730.15	21700000	0.0000777	0.3582
