CASRN	Name 	logP
37680-73-2	2,2',4,5,5'-Pentachlorobiphenyl	6.4
76-01-7	Pentachloroethane	2.89
87-86-5	Pentachlorophenol	5.07
591-93-5	1,4-Pentadiene	2.48
700-12-9	Pentamethylbenzene	4.56
109-66-0	Pentane	3.45
110-59-8	Pentanenitrile	0.94
109-52-4	Pentanoic acid	1.39
71-41-0	1-Pentanol	1.51
6032-29-7	2-Pentanol	1.25
584-02-1	3-Pentanol	1.21
107-87-9	2-Pentanone	0.84
96-22-0	3-Pentanone	0.82
109-67-1	1-Pentene	2.2
110-58-7	Pentylamine	1.49
538-68-1	Pentylbenzene	4.9
627-19-0	1-Pentyne	1.98
198-55-0	Perylene	6.25
85-01-8	Phenanthrene	4.52
108-95-2	Phenol	1.48
122-79-2	Phenyl acetate	1.49
451-40-1	2-Phenylacetophenone	3.18
536-74-3	Phenylacetylene	2.4
93-98-1	N-Phenylbenzamide	2.62
93-99-2	Phenyl benzoate	3.59
4894-75-1	4-Phenylcyclohexanone	2.45
1864-94-4	Phenyl formate	1.26
96-09-3	Phenyloxirane	1.61
93-55-0	1-Phenyl-1-propanone	2.19
103-79-7	1-Phenyl-2-propanone	1.44
300-62-9	1-Phenyl-2-propylamine, (±)-	1.76
939-23-1	4-Phenylpyridine	2.59
110-89-4	Piperidine	0.84
123-38-6	Propanal	0.59
107-12-0	Propanenitrile	0.16
107-03-9	1-Propanethiol	1.81
79-09-4	Propanoic acid	0.33
71-23-8	1-Propanol	0.25
67-63-0	2-Propanol	0.05
107-19-7	Propargyl alcohol	-0.38
109-60-4	Propyl acetate	1.24
107-10-8	Propylamine	0.48
103-65-1	Propylbenzene	3.69
110-74-7	Propyl formate	0.83
644-35-9	2-Propylphenol	2.93
645-56-7	4-Propylphenol	3.2
129-00-0	Pyrene	5.08
110-86-1	Pyridine	0.65
109-97-7	Pyrrole	0.75
123-75-1	Pyrrolidine	0.46
91-22-5	Quinoline	2.03
57-11-4	Stearic acid	8.23
103-30-0	trans-Stilbene	4.81
100-42-5	Styrene	3.05
634-66-2	1,2,3,4-Tetrachlorobenzene	4.55
634-90-2	1,2,3,5-Tetrachlorobenzene	4.65
95-94-3	1,2,4,5-Tetrachlorobenzene	4.51
41464-40-8	2,2',4',5-Tetrachlorobiphenyl	5.73
33284-53-6	2,3,4,5-Tetrachlorobiphenyl	5.72
79-34-5	1,1,2,2-Tetrachloroethane	2.39
127-18-4	Tetrachloroethene	2.88
56-23-5	Tetrachloromethane	2.64
544-63-8	Tetradecanoic acid	6.1
109-99-9	Tetrahydrofuran	0.46
142-68-7	Tetrahydropyran	0.82
488-23-3	1,2,3,4-Tetramethylbenzene	4
527-53-7	1,2,3,5-Tetramethylbenzene	4.1
95-93-2	1,2,4,5-Tetramethylbenzene	4.1
110-02-1	Thiophene	1.81
108-88-3	Toluene	2.73
118-90-1	o-Toluic acid	2.32
99-04-7	m-Toluic acid	2.37
99-94-5	p-Toluic acid	2.34
75-25-2	Tribromomethane	2.38
87-61-6	1,2,3-Trichlorobenzene	4.04
120-82-1	1,2,4-Trichlorobenzene	3.98
108-70-3	1,3,5-Trichlorobenzene	4.02
15862-07-4	2,4,5-Trichlorobiphenyl	5.6
35693-92-6	2,4,6-Trichlorobiphenyl	5.47
71-55-6	1,1,1-Trichloroethane	2.49
79-00-5	1,1,2-Trichloroethane	2.38
79-01-6	Trichloroethene	2.53
75-69-4	Trichlorofluoromethane	2.53
67-66-3	Trichloromethane	1.97
96-18-4	1,2,3-Trichloropropane	2.63
