CASRN	Chemical	Formula	Hfus
12032-20-1	Lutetium oxide	Lu2O3	133000
12032-36-9	Magnesium sulfide	MgS	63000
12033-33-9	Molybdenum(III) sulfide	Mo2S3	130
12033-62-4	Tantalum nitride	NTa	6700
12033-63-5	Tantalum nitride (Ta2N)	NTa2	92000
12034-57-0	Niobium(II) oxide	NbO	85400
12034-59-2	Niobium(IV) oxide	NbO2	92000
12035-51-7	Nickel disulfide	NiS2	65700
12035-72-2	Nickel subsulfide	Ni3S2	19700
12035-98-2	Vanadium(II) oxide	OV	50000
12036-21-4	Vanadium(IV) oxide	O2V	56000
12036-34-9	Plutonium(III) oxide	O3Pu2	113000
12037-79-5	Zinc phosphide [ZnP2]	P2Zn	92900
12037-82-0	Phosphorus heptasulfide	P4S7	36600
12039-07-5	Titanium(II) sulfide	STi	32000
12039-15-5	Zirconium(IV) sulfide	S2Zr	45000
12040-02-7	Tin(II) telluride	SnTe	45200
12044-54-1	Arsenic(III) telluride	As2Te3	46000
12045-63-5	Titanium boride	B2Ti	100400
12045-64-6	Zirconium boride	B2Zr	104600
12053-70-2	Cesium peroxide	Cs2O2	22000
12055-23-1	Hafnium(IV) oxide	HfO2	96000
12055-62-8	Holmium oxide	Ho2O3	130000
12059-95-9	Plutonium(IV) oxide	O2Pu	67000
12060-08-1	Scandium oxide	O3Sc2	127000
12060-58-1	Samarium(III) oxide	O3Sm2	119000
12061-16-4	Erbium oxide	Er2O3	130000
12062-85-0	Iron sodium oxide	FeNaO2	49400
12064-03-8	Gallium antimonide	GaSb	25100
12064-62-9	Gadolinium(III) oxide	Gd2O3	60000
12065-10-0	Germanium(II) selenide	GeSe	24700
121-73-3	1-Chloro-3-nitrobenzene	C6H4ClNO2	19400
12125-01-8	Ammonium fluoride	FH4N	12600
12125-02-9	Ammonium chloride	ClH4N	10600
12136-45-7	Potassium oxide	K2O	27000
12137-25-6	Rubidium superoxide	O2Rb	21000
122-39-4	Diphenylamine	C12H11N	18500
12279-90-2	Arsenic sulfide	As4S4	25400
123-31-9	p-Hydroquinone	C6H6O2	26800
123-63-7	Paraldehyde	C6H12O3	13500
123-72-8	Butanal	C4H8O	10770
123-75-1	Pyrrolidine	C4H9N	8580
123-76-2	4-Oxopentanoic acid	C5H8O3	9220
123-91-1	1,4-Dioxane	C4H8O2	12840
124-04-9	1,6-Hexanedioic acid	C6H10O4	36300
124-07-2	Octanoic acid	C8H16O2	21350
124-18-5	Decane	C10H22	28720
124-19-6	Nonanal	C9H18O	30500
124-38-9	Carbon dioxide	CO2	9020
124-40-3	Dimethylamine	C2H7N	5940
124-73-2	1,2-Dibromotetrafluoroethane	C2Br2F4	7040
12504-41-5	Silicon monosulfide	SSi	31000
127-08-2	Potassium acetate	C2H3KO2	7650
127-09-3	Sodium acetate	C2H3NaO2	17900
127-18-4	Tetrachloroethene	C2Cl4	10880
127-69-5	Sulfisoxazole	C11H13N3O3S	30200
127-79-7	Sulfamerazine	C11H12N4O2S	38700
