CASRN	Tb
17249-76-2	458.15
17249-77-3	471.85
17249-79-5	446.65
17249-80-8	411.15
17249-82-0	427.15
1725-01-5	445.65
1726-12-1	581.04
1726-13-2	630.15
1726-14-3	567.85
1729-67-5	479.15
17299-07-9	486.65
17299-41-1	490.15
1730-48-9	365.65
17301-94-9	438.85
17302-01-1	436.96
17302-02-2	439.46
17302-04-4	433.96
17302-11-3	461.15
17302-12-4	453.15
17302-13-5	453.15
17302-14-6	453.15
17302-15-7	455.15
17302-16-8	458.85
17302-17-9	460.05
17302-18-0	451.15
17302-19-1	453.15
17302-20-4	451.15
17302-21-5	453.45
17302-22-6	458.15
17302-23-7	455.15
17302-24-8	451.15
17302-25-9	453.15
17302-26-0	452.15
17302-27-1	452.15
17302-28-2	452.15
17302-29-3	453.15
17302-30-6	456.15
17302-31-7	455.15
17302-32-8	457.15
17302-33-9	479.15
17302-36-2	475.15
17302-37-3	474.15
17302-38-4	476.15
17302-39-5	477.15
17302-40-8	478.15
17309-87-4	494.15
1731-84-6	486.65
17312-39-9	472.15
17312-40-2	472.15
17312-41-3	468.15
17312-42-4	473.15
17312-43-5	470.15
17312-44-6	479.15
17312-45-7	478.15
17312-46-8	475.15
17312-48-0	473.15
17312-49-1	471.15
17312-50-4	471.15
17312-51-5	475.15
17312-52-6	477.15
17312-53-7	474.15
17312-54-8	475.15
17312-55-9	478.15
17312-56-0	472.15
17312-57-1	503.45
17312-63-9	490.65
17312-64-0	494.15
17312-77-5	501.15
17312-80-0	489.15
1732-09-8	541.15
17325-85-8	534.15
17337-12-1	348.15
17341-93-4	444.65
17347-61-4	492.65
17348-59-3	378.66
1735-17-7	351.15
1735-84-8	392.65
17351-75-6	526.15
17352-32-8	623.15
17356-19-3	430.65
1736-60-3	421.6
17361-44-3	713.15
17369-59-4	327.15
1737-93-5	432.65
17373-27-2	488.15
17373-28-3	526.15
17373-29-4	560.15
1738-25-6	446.15
1738-36-9	392.15
17380-19-7	365.15
1739-84-0	479.15
17392-83-5	417.65
17397-89-6	393.15
17400-69-0	499.65
17408-14-9	436.15
1741-83-9	418.15
17416-17-0	487.15
17416-21-6	439.15
17418-58-5	546.15
1743-86-8	493.15
17447-01-7	424.15
1745-16-0	474.15
1745-81-9	493.15
17450-56-5	457.15
17452-27-6	505.15
17453-92-8	470.15
1746-09-4	370.65
1746-11-8	470.65
1746-13-0	464.85
1746-77-6	456.15
1747-60-0	513.15
17471-59-9	332.55
17481-19-5	418.65
17484-36-5	539.65
17496-14-9	509.15
17498-10-1	387.65
1750-42-1	348.65
17510-46-2	414.15
17516-95-9	397.65
175205-33-1	488.15
17526-74-8	467.35
175278-17-8	482.15
17534-15-5	511.65
1754-62-7	535.05
1755-05-1	412.15
1755-52-8	519.65
17556-48-8	351.15
1757-42-2	417.75
17577-93-4	456.15
1758-10-7	485.65
1758-33-4	333.15
1758-85-6	478.15
1758-88-9	459.98
1759-53-1	456.15
1759-58-6	364.88
1759-64-4	404.25
1759-81-5	338.3
1759-88-2	288.15
17598-02-6	341.15
176-63-6	458
1760-24-3	419.15
17600-72-5	485.6
17607-20-4	353.15
1761-71-3	593.15
17611-82-4	537.15
17617-45-7	486.65
17618-76-7	385.15
1762-95-4	536
17639-93-9	405.65
17640-15-2	373.65
17640-25-4	453.15
17640-26-5	419.15
1765-26-0	379.65
1765-40-8	447.6
1765-92-0	384.15
17654-88-5	283.15
17655-74-2	497.65
17658-32-1	432.15
17672-88-7	576.65
17678-60-3	590.15
17679-92-4	407.15
1768-64-5	423.15
17696-37-6	537.15
17696-64-9	436.65
17697-53-9	543.15
17699-14-8	518.65
17702-41-9	486.15
17715-00-3	430.65
1772-10-7	467.15
1772-43-6	385.65
17742-04-0	420.65
1776-37-0	567.15
17760-13-3	428.15
17760-40-6	454.15
17766-75-5	423.65
17768-41-1	357.15
1777-03-3	409.15
17773-64-7	363.15
17773-65-8	367.15
177756-62-6	479.15
17788-00-0	509.15
17789-14-9	405.65
1779-48-2	453.15
1779-60-8	467
1780-31-0	508.15
1781-78-8	431.15
17814-73-2	356.65
17822-71-8	506.65
17822-73-0	526.15
17823-46-0	425.65
1783-25-1	406.15
17837-41-1	379.15
17839-26-8	407.15
17849-38-6	503.15
17851-27-3	486.15
17865-32-6	474.75
17869-77-1	388.65
17877-23-5	469.15
17881-65-1	475.15
17882-06-3	428.15
1789-58-8	347.9
17893-55-9	376.15
1792-41-2	623.15
17933-16-3	145.45
1794-84-9	395.65
1795-01-3	409.15
1795-04-6	445.85
1795-05-7	437.65
1795-09-1	405.63
1795-15-9	536.76
1795-16-0	570.75
1795-17-1	600.86
1795-18-2	627.16
1795-20-6	516.86
1795-21-7	552.54
1795-22-8	612.16
1795-26-2	413.7
1795-27-3	411.66
1795-48-8	347.65
17952-11-3	390.75
17969-20-9	418.15
17977-68-3	540.15
17980-47-1	463.65
17982-67-1	455.65
180-43-8	481.15
180-84-7	466.15
18023-33-1	452.65
18023-36-4	509.15
1803-36-7	278.05
18030-61-0	594.33
18031-40-8	377.65
18038-55-6	446.65
1805-32-9	422.65
1805-61-4	528.15
1806-29-7	593.15
1806-54-8	503.65
1809-02-5	366.15
1809-05-8	418.15
1809-10-5	391.75
1809-19-4	503.15
1809-21-8	476.15
1809-26-3	391.15
18094-01-4	523.15
1812-51-7	539.12
18125-46-7	338.15
18138-03-9	338.15
18146-00-4	374.05
18157-17-0	407.15
18162-48-6	398.05
18162-84-0	496.6
18163-47-8	403.15
18169-57-8	416.45
18171-11-4	418.15
18171-59-0	422.15
18171-74-9	410.15
18172-67-3	439.15
18173-64-3	412.65
18178-59-1	418.65
1818-07-1	558.15
18181-70-9	303.25
18182-14-4	384.15
18187-24-1	412.15
18187-39-8	410.15
18207-29-9	358.15
18209-61-5	339.65
1821-02-9	452.15
1821-12-1	563.15
1821-36-9	552.15
1821-39-2	499.15
18217-12-4	437
1822-74-8	342.65
1823-91-2	504.15
18231-53-3	383.15
18236-89-0	394.65
1824-81-3	481.65
18243-41-9	389.65
18245-28-8	438.65
1825-14-5	474.15
1825-21-4	389.95
1825-31-6	561.15
1825-58-7	366.15
1825-61-2	330.6
1825-62-3	349.15
1825-63-4	373.65
1825-82-7	375.05
18254-57-4	660.15
18262-85-6	486.15
18270-17-2	408.15
18273-30-8	435.15
18279-21-5	412.15
18282-40-1	499.15
18282-59-2	510.15
18283-93-7	291.15
18291-56-0	431.95
18292-29-0	391.15
18292-38-1	383.65
18295-25-5	388.45
18295-27-7	413.15
18295-59-5	433.15
1830-78-0	478.15
18300-91-9	595.15
18309-32-5	500.65
18312-12-4	523.65
18323-44-9	407.15
18328-90-0	377.9
1833-51-8	498.15
1833-53-0	367.15
18338-40-4	439.15
18355-73-2	463.15
18356-71-3	241.15
1836-77-7	479.15
18362-36-2	503.15
18362-64-6	339.15
18365-12-3	398.15
18365-42-9	405.65
18368-63-3	456.65
18368-76-8	465.65
18371-13-6	430.15
1838-56-8	550.65
1838-59-1	356.75
1838-73-9	437.85
1838-94-4	353.15
18388-03-9	435.65
18388-45-9	428.15
1839-63-0	411
1839-88-9	426.15
18395-30-7	418.65
18395-55-6	401.15
18395-90-9	463.15
1840-19-3	480.15
1840-42-2	356.65
1841-46-9	507.15
18419-53-9	398.15
18420-09-2	434.15
18431-36-2	479.15
18433-84-6	336.15
18435-20-6	538.15
18435-22-8	539.45
18435-23-9	555.15
18435-45-5	602.17
18435-53-5	721.15
18435-54-6	730.15
18435-55-7	738.15
18441-43-5	471.15
18441-55-9	515.15
18441-56-0	515.15
18448-47-0	464.15
1845-25-6	518.15
18476-57-8	426.65
1849-29-2	338.15
18492-37-0	466.65
18495-30-2	451.15
185-94-4	318.65
1850-14-2	387.15
1851-71-4	407.15
1851-77-0	412.65
18516-37-5	484.75
18526-07-3	440.15
18588-16-4	190.15
1859-76-3	555.15
18593-92-5	446.15
1860-27-1	382.3
18610-33-8	370.15
18636-94-7	389.15
1864-92-2	559.15
18640-74-9	453.15
18643-08-8	573.15
18649-64-4	378.65
186517-29-3	487.15
186589-03-7	476.15
18668-68-3	383.15
1868-53-7	338.05
18694-40-1	370.65
1871-52-9	418.65
1871-57-4	411.15
1871-58-5	437.15
18720-62-2	440.75
18720-65-5	426.75
18727-07-6	246.65
18729-48-1	421.65
1873-25-2	414.15
1873-29-6	379.15
1873-54-7	539.15
1873-88-7	414.95
1873-89-8	458.15
1873-92-3	392.65
1874-62-0	495.15
18748-27-1	483.15
1875-88-3	532.15
1875-89-4	515.65
1878-18-8	392.15
1879-06-7	469.15
1879-09-0	522.15
18791-02-1	465.15
18791-21-4	437.15
18819-45-9	430.35
1882-26-4	429.55
18826-95-4	487.15
18835-32-0	652.15
18835-33-1	684.15
18835-34-2	703.15
18835-35-3	713.15
1885-29-6	536.15
1885-35-4	455.65
1885-38-7	536.95
18854-01-8	433.15
18856-63-8	517.65
18858-65-6	465.15
1886-75-5	521.05
18871-66-4	391.15
1888-57-9	420.65
1888-71-7	482.65
1888-85-3	354.15
1888-87-5	515.15
188815-30-7	448.15
1889-67-4	589
18905-91-4	440.15
18913-31-0	401.65
18931-71-0	329.15
18932-14-4	444.65
18936-17-9	398.55
1896-62-4	534.15
18963-00-3	484.15
18963-01-4	463.65
18968-99-5	365.4
1897-45-6	623.15
1897-52-5	470.65
1897-96-7	486.65
18970-44-0	466.15
18971-59-0	428.65
189807-21-4	430.15
1899-24-7	474.15
18999-28-5	499.65
1901-26-4	559.15
19020-26-9	545.7
19037-72-0	361.15
19049-40-2	603.15
190774-49-3	422.15
190774-50-6	465.15
190774-56-2	561.15
19089-47-5	413.65
191-07-1	798.15
191-13-9	849.78
191-68-4	717.4
1910-36-7	579.55
19113-78-1	425.15
1912-21-6	538.65
1912-24-9	546.16
1912-26-1	374.95
1912-31-8	360.85
19128-84-8	531.15
19132-06-0	452.6
19139-31-2	469.15
19141-40-3	493.15
19145-60-9	450.65
19155-24-9	573.15
19155-35-2	436.46
1916-07-0	547.65
19163-05-4	344.15
19177-04-9	469.65
1918-16-7	383.15
1918-77-0	433.15
192-65-4	721.75
192-97-2	584.15
1921-70-6	569.15
19210-21-0	403.15
19218-94-1	603.15
19219-99-9	492.15
19221-28-4	385.15
19230-27-4	538.15
19232-22-5	345.65
19241-16-8	520.15
19241-19-1	524.15
19241-36-2	543.15
19246-39-0	427.15
19247-68-8	376.15
19264-94-9	438.15
19267-68-6	425.15
1928-37-6	603.77
1928-38-7	584.16
1928-43-4	516.15
19287-45-7	180.65
193-39-5	809.15
1932-04-3	538.15
19329-89-6	475.55
19354-27-9	413.15
19361-62-7	323.65
19374-46-0	383.35
19393-45-4	497.15
19393-92-1	515.15
19398-53-9	455.15
19398-61-9	473.15
19398-75-5	423.15
19398-77-7	437.06
194-59-2	468.65
1940-18-7	439.15
19411-41-7	438.15
1942-45-6	404.75
1942-46-7	450.15
19420-29-2	608.15
19429-30-2	339.15
1943-82-4	483.15
19430-93-4	332.65
19434-65-2	403.15
19438-10-9	554.15
19438-61-0	568.15
19447-29-1	435.05
19456-74-7	436.15
1948-33-0	557.15
19482-31-6	379.65
19484-26-5	563.96
19486-08-9	578.15
19486-60-3	542.95
19489-10-2	421.15
19493-31-3	549.15
19493-44-8	547.65
19521-84-7	432.15
19522-67-9	409.15
19522-69-1	431.15
1953-56-6	407.65
19530-02-0	498.05
19549-71-4	447.15
19549-73-6	448.15
19549-77-0	444.55
19549-78-1	449.15
19549-79-2	460.15
19549-83-8	445
19549-84-9	435.15
1955-45-9	331.15
19550-03-9	433.25
19550-05-1	444.15
19550-07-3	432.15
19550-08-4	425.15
19550-09-5	432.15
19550-10-8	431.15
19550-14-2	421.15
19550-30-2	422.15
19550-40-4	398.15
19550-48-2	366.35
19550-81-3	389.15
19550-82-4	389.15
19550-83-5	379.15
19550-87-9	395.15
19550-88-0	395.15
19594-02-6	503.15
19613-76-4	593.15
19617-44-8	499.15
19624-22-7	333.15
19648-88-5	483.15
19653-33-9	490.15
19655-56-2	529.15
1967-25-5	533.15
19678-58-1	442.7
19686-73-8	419.65
19689-18-0	443.75
1969-43-3	439.15
19693-75-5	402.65
19704-60-0	367.65
1971-46-6	556.15
19718-45-7	578.15
1973-22-4	472.45
1974-04-5	439.15
1975-78-6	516.15
19752-09-1	555.15
19752-55-7	505.15
19763-13-4	478.15
19780-41-7	455.35
19780-44-0	437.15
19780-63-3	430.95
19780-65-5	426.6
19780-66-6	383.15
19780-67-7	390.15
19780-90-6	484.15
19781-10-3	462.25
19781-11-4	475.15
19781-13-6	465.15
19781-24-9	420.15
19781-63-6	386.15
19781-68-1	340.16
19781-69-2	331.81
19781-73-8	664.15
19814-71-2	557.15
19816-89-8	361.65
19819-95-5	357.65
19819-98-8	516.65
19821-84-2	437.15
19842-76-3	451.15
1985-12-2	463.65
1985-57-5	478.65
1985-59-7	494.15
1985-97-3	478.15
19881-18-6	475.15
19894-97-4	494.65
19899-80-0	363.75
19902-08-0	437.75
19902-98-8	410.15
19902-99-9	417.15
19903-00-5	425.15
19907-40-5	404.15
19915-11-8	468.15
19932-85-5	270.55
19947-22-9	464.65
1996-41-4	444.65
19961-27-4	349.15
19967-57-8	382.65
19975-56-5	489.65
2000-40-0	293.95
20009-26-1	566.65
20018-09-1	403.15
20024-90-2	478.15
20024-91-3	474.15
20027-77-4	525.15
20030-32-4	418.15
2004-69-5	325.35
2004-70-8	315.17
20063-92-7	420.65
20064-41-9	336.85
20089-07-0	392.25
2009-74-7	452.15
20120-33-6	483.65
20139-55-3	447.15
2014-83-7	391.15
20150-89-4	547.15
2016-42-4	564.45
2016-57-1	493.65
20177-02-0	424.15
20184-89-8	430.25
20184-91-2	427.15
20193-20-8	353.45
20193-21-9	406.65
20198-49-6	372.69
20201-24-5	335.15
2021-28-5	520.35
20213-30-3	591.15
20218-55-7	476.15
20232-11-5	480.15
20233-04-9	293.65
20237-34-7	346.15
20244-71-7	392.15
20247-89-6	496.15
202591-85-3	429.15
2027-17-0	541.35
2027-19-2	546.66
20278-84-6	429.66
20278-85-7	433.86
20278-87-9	435.06
20278-88-0	434.26
20278-89-1	435.66
20279-53-2	495.15
2028-63-9	379.65
20281-83-8	426.15
20281-85-0	417.65
20281-86-1	413.15
20281-91-8	393.55
20282-28-4	550.35
2029-94-9	552.15
20291-61-6	461.7
20291-91-2	429.26
20291-95-6	423.96
203-64-5	626.15
20309-77-7	406.15
2031-67-6	415.15
20311-78-8	411.15
2032-35-1	443.15
20324-33-8	519.25
203302-90-3	389.15
20348-74-7	390.75
2035-99-6	540.65
20352-67-4	431.15
2036-41-1	426.15
2037-31-2	479.15
2038-03-1	478.15
2038-57-5	494.15
20383-28-2	421.15
2039-82-9	485.15
2039-87-4	461.85
2039-88-5	482.35
2039-89-6	466.18
2039-93-2	455.15
20395-24-8	481.15
20395-25-9	418.7
20396-66-1	180.65
2040-04-2	408.65
2040-07-5	519.65
2040-14-4	492.65
2040-95-1	429.76
2040-96-2	404.11
2042-37-7	525.15
20427-56-9	313.15
2043-53-0	451.15
2043-57-4	453.15
2043-61-0	432.45
2044-08-8	438.15
2044-21-5	607.15
2044-22-6	655.15
2044-64-6	493.05
20445-33-4	486.65
2045-41-2	368.15
2045-79-6	509.65
2046-17-5	405.15
20461-95-4	343.15
20461-99-8	358.15
20462-00-4	349.15
20469-61-8	487.65
20488-34-0	385.15
2049-66-3	507.15
2049-67-4	510.15
2049-73-2	508.15
2049-74-3	518.65
2049-80-1	495.65
2049-92-5	533.65
2049-94-7	472.05
2049-95-8	465.53
205-25-4	721.15
2050-01-3	435.15
2050-03-5	511.15
2050-04-6	502.15
2050-07-9	528.65
2050-08-0	543.15
2050-20-6	527.15
2050-23-9	555.75
2050-24-0	473.85
2050-32-0	404.15
2050-33-1	400.15
2050-46-6	492.15
2050-47-7	612.15
2050-54-6	327.15
2050-60-4	514.15
2050-61-5	502.15
2050-67-1	593.15
2050-68-2	590.15
2050-69-3	569.65
2050-73-9	558.65
2050-76-2	453.15
2050-77-3	536.85
2050-92-2	476.15
2050-95-5	507.15
2051-00-5	540.65
2051-04-9	520.15
2051-25-4	442.15
2051-28-7	368.15
2051-30-1	433.53
2051-31-2	483.15
2051-32-3	472.15
2051-33-4	486.15
2051-60-7	547.15
2051-61-8	557.65
2051-62-9	566.05
2051-78-7	415.15
2051-84-5	527.65
2051-97-0	520.15
2051-98-1	608.15
2052-01-9	472.15
2052-06-4	543.15
2052-07-5	570.15
2052-14-4	544.15
2052-15-5	510.65
2052-49-5	373.15
20539-85-9	381.15
2055-40-5	477.25
2057-43-4	489.15
2057-49-0	595.15
2058-52-8	436.55
20589-85-9	435.15
20599-27-3	396.65
206-00-8	380.15
206-44-0	655.95
2061-56-5	471.65
2062-84-2	503.45
20627-73-0	548.2
20633-11-8	444.15
20634-92-8	411.15
20637-49-4	421.15
2065-23-8	518.15
2065-70-5	558.15
20654-44-8	401.15
20654-46-0	402.15
20662-84-4	406.65
20668-26-2	543.15
20668-28-4	544.15
20668-29-5	534.15
20669-04-9	403.75
2067-58-5	478.9
20679-58-7	341.15
206860-48-2	414.15
20697-04-5	345.15
207-08-9	753.15
20710-38-7	368.33
207291-85-8	395.15
20731-44-6	486.15
2075-45-8	528.15
20754-04-5	447.15
20760-06-9	501.15
20762-98-5	460.65
20769-85-1	436.15
2077-13-6	464.25
2077-29-4	469.15
2077-30-7	474.15
20777-49-5	506.15
2078-54-8	529.15
20780-53-4	467.15
20780-54-5	466.15
2079-95-0	579.36
207974-17-2	490.15
207981-46-2	463.65
208-96-8	543.15
20809-46-5	451.15
2081-44-9	463.15
20816-12-0	408.15
208173-19-7	465.65
2082-59-9	500.15
20820-82-0	476.15
20825-07-4	358.65
2083-91-2	359.15
2084-18-6	382.91
2084-19-7	385.55
2084-45-9	496.15
2085-66-7	417.15
2090-14-4	626.15
2090-15-5	605.15
20917-49-1	371.15
2094-75-9	377.15
2094-99-7	542.65
20982-74-5	482.15
2100-17-6	372.15
2100-42-7	520.15
21020-24-6	341.65
21020-26-8	357.15
21020-27-9	345.15
21035-25-6	361.55
21035-44-9	371.15
2104-09-8	504.15
21040-45-9	538.15
21041-85-0	322.65
2105-61-5	467.65
2106-02-7	465.15
2106-04-9	487.15
2106-40-3	397.15
2106-54-9	505.15
2108-92-1	444.15
21083-47-6	477.15
2110-78-3	410.15
21101-88-2	426.15
21129-27-1	481.65
2113-47-5	628.15
2113-54-4	437.15
2113-57-7	573.15
2114-00-3	520.65
2114-42-3	405.15
21151-56-4	395.15
21154-48-3	440.15
2116-62-3	562.15
2116-65-6	561.15
2117-11-5	399.65
2117-28-4	406.65
2117-36-4	543.15
2117-78-4	414.85
21172-28-1	414.15
21179-48-6	510.65
2122-77-2	349.15
21232-47-3	374.65
21245-02-3	598.15
21247-98-3	496.65
21267-72-1	522.15
2127-10-8	412.15
2128-93-0	692.65
21296-92-4	570.15
213-46-7	792.15
2131-18-2	639.15
2131-38-6	553.15
2131-39-7	557.65
2131-41-1	558.15
2131-42-2	551.15
2131-55-7	522.65
2131-59-1	529.15
2131-61-5	410.65
21326-62-5	414.65
21342-85-8	384.15
21352-22-7	551.15
2136-81-4	528.15
2136-89-2	537.45
2136-95-0	607.15
2138-43-4	544.15
21382-98-9	545.15
21391-98-0	496.15
21400-25-9	391.15
2141-58-4	577
2141-59-5	555
2141-62-0	444.15
21416-67-1	364.65
2142-06-5	666.15
2142-68-9	501.15
2142-73-6	505.65
21447-39-2	467.95
2146-37-4	388.15
2146-38-5	379.48
21466-07-9	459.65
21472-86-6	519.15
21490-63-1	329.65
2150-02-9	490.15
2150-18-7	447.15
2150-37-0	571.15
2150-38-1	556.15
2150-41-6	568.15
21504-43-8	406.65
21524-39-0	462.15
21535-97-7	470.15
21539-47-9	444.65
2154-71-4	248.25
21542-96-1	673.15
21548-32-3	330.4
2155-30-8	417.95
2155-60-4	557.15
2155-70-6	411.65
2155-94-4	336.1
21564-91-0	512.15
2157-31-5	485.65
2157-50-8	518.15
21570-35-4	439.25
21571-91-5	405.15
21572-61-2	296.15
2158-03-4	341.15
2158-55-6	437.15
21587-39-3	331.25
2160-89-6	357.45
21600-42-0	283.45
21600-51-1	419.15
216144-70-6	442.15
21615-34-9	527.25
2162-91-6	429.15
2162-92-7	446.15
2162-99-4	488.15
21621-78-3	501.15
2163-00-0	477.15
2163-42-0	487.15
2163-48-6	494.15
21633-79-4	522.65
2164-19-4	426.65
21652-58-4	419.6
21655-48-1	433.15
2167-23-9	355.15
2167-39-7	332.15
21678-37-5	448.65
21679-31-2	618.15
21693-54-9	526.15
217-59-4	698.15
21700-31-2	452.65
2171-96-2	292.03
2173-56-0	476.85
2173-57-1	578.9
21738-42-1	424.65
2175-91-9	428.15
2176-62-7	553.15
2176-98-9	501.15
2177-18-6	364.15
2177-47-1	479.45
21777-84-4	493.85
2179-16-0	491.15
218-01-9	714.15
2180-92-9	433.65
21816-42-2	412.7
2182-55-0	421.65
2182-66-3	438.15
21842-58-0	521.15
21856-89-3	500.15
21884-26-4	482.45
21889-88-3	418.15
2189-60-8	537.55
21890-35-7	366.15
21895-13-6	568.15
21895-16-9	570.15
21895-17-0	571.15
2190-48-9	353.15
21900-42-5	508.2
21905-27-1	492.15
21905-32-8	413.15
2192-55-4	458.15
21948-47-0	479.15
2196-23-8	386.65
21964-23-8	389.15
21964-44-3	466.15
21968-17-2	371.45
21974-48-1	418.15
2198-20-1	471.15
2198-23-4	419.05
2198-58-5	490.65
2198-61-0	498.65
2198-72-3	467.15
2198-75-6	564.15
21981-48-6	417.15
21983-72-2	418.65
21987-62-2	420.15
2199-51-1	564.15
2199-52-2	564.15
2203-80-7	365
22037-28-1	376.15
22037-73-6	378.15
22038-56-8	485.15
22038-57-9	434.65
2205-78-9	553.65
22052-81-9	301.26
22052-84-2	302.56
22056-53-7	396.15
2206-38-4	534.15
2206-48-6	541.15
2207-01-4	402.94
2207-03-6	397.61
2207-04-7	392.51
2207-27-4	382.15
22089-22-1	377.15
2210-28-8	414
2210-32-4	535.15
2210-79-9	407.65
2211-67-8	392.65
2211-68-9	335.75
2211-69-0	339.95
2211-70-3	331.65
22118-09-8	400.1
22118-12-3	424.15
2212-10-4	433.15
2212-32-0	480.15
2212-99-9	468.15
22128-62-7	380.15
22128-63-8	383.65
2213-23-2	406.05
2213-32-3	354.76
2213-43-6	420.15
22144-60-1	505.15
22150-76-1	381.35
2216-16-2	562.2
2216-21-9	522.15
2216-25-3	555.15
2216-30-0	409.16
2216-32-2	414.36
2216-33-3	417.38
2216-34-4	415.59
2216-51-5	489.55
2216-67-3	590.15
2216-68-4	567.65
2216-69-5	542.15
2216-70-8	422.15
2216-81-1	483.15
2216-87-7	500.15
2216-92-4	546.65
2216-94-6	538.15
22160-12-9	482.65
22160-39-0	468.75
22160-40-3	470.65
22160-41-4	490.65
2217-02-9	474.15
2217-07-4	515.15
2217-14-3	576.15
2217-15-4	548.15
2217-17-6	459.45
2217-41-6	552.15
2217-60-9	563.15
2219-73-0	500.75
2219-79-6	500.15
2219-82-1	503.15
22204-53-1	375.65
22227-75-4	381.15
22235-85-4	575.15
22236-04-0	478.15
22236-10-8	504.15
2224-44-4	337.15
22261-92-3	490.65
22287-02-1	476.65
2230-70-8	464.15
22327-39-5	504.15
2233-00-3	387.65
2233-29-6	465.65
22331-38-0	683.15
2234-20-0	475.26
2234-75-5	415.05
2234-97-1	458.15
22349-03-7	685.15
2235-12-3	352.55
2235-25-8	388.15
22364-68-7	517.15
2237-30-1	562.15
22374-89-6	496.15
2238-07-5	533.15
22381-54-0	452.65
22398-09-0	449.15
22417-45-4	477.15
22418-49-1	340.15
22421-97-2	408.15
2243-27-8	497.55
2243-35-8	543.15
2243-42-7	628.15
2243-43-8	561.15
2243-47-2	527.15
2243-53-0	575.15
2243-83-6	578.15
2243-89-2	553.15
2243-90-5	533.05
2243-98-3	468.16
2244-07-7	533.15
2244-16-8	504.15
22445-41-6	503.65
2245-38-7	553.15
2247-91-8	360.05
22502-03-0	393.15
2251-50-5	431.6
2251-65-2	458.1
2252-44-0	430.15
2253-73-8	406.15
22531-20-0	517.15
22539-65-7	475.75
2254-88-8	439.15
2254-94-6	608.15
22545-12-6	522.85
22545-13-7	523.15
22564-83-6	440.15
22564-99-4	471.15
22567-21-1	498.15
2257-09-2	417.15
2257-35-4	495.15
22571-95-5	528.15
22618-23-1	508.15
2265-93-2	448.65
2265-94-3	449.65
22673-19-4	423.15
2268-05-5	441.65
22691-91-4	403.15
22692-70-2	569.65
2270-59-9	426.15
22717-57-3	517.65
2272-45-9	591.15
2273-43-0	387.15
2273-45-2	364.15
22737-36-6	372.15
2274-74-0	369.75
22748-16-9	431.15
2275-23-2	345.95
22750-65-8	477.15
22755-09-5	389.15
22755-36-8	279.25
22767-90-4	412.65
22767-96-0	598.15
22768-17-8	394.15
22768-18-9	394.15
22768-19-0	395.15
22768-20-3	395.15
2278-22-0	394.65
2279-64-3	346.15
22808-06-6	397.45
2281-78-9	575.15
22826-61-5	351.15
2284-20-0	553.65
2284-30-2	569.15
22867-74-9	503.15
229-87-8	622.05
2290-65-5	416.15
2291-80-7	489.15
22922-67-4	394.15
22924-15-8	518.65
22927-13-5	482.15
22936-75-0	425.15
2294-43-1	497.15
2294-47-5	337.15
2294-71-5	501.15
2294-72-6	471.15
230-27-3	612.15
230-46-6	633.15
23009-73-6	378.15
23009-74-7	381.15
23010-00-6	360.15
23010-04-0	407.15
23012-11-5	390.65
2302-93-4	359.15
23031-25-6	483.15
23031-36-9	586.65
23048-13-7	438.15
23056-94-2	389.65
2306-88-9	579.95
23068-94-2	383.15
23068-95-3	389.65
2307-10-0	411.05
2307-97-3	569.15
23074-36-4	354.15
23079-65-4	502.35
2308-38-5	409.15
2310-98-7	368.15
2311-14-0	446.15
2313-61-3	424.15
2313-65-7	425.15
23132-52-7	527.15
23138-55-8	493.15
23139-02-8	322.45
2314-78-5	509.15
2314-97-8	250.65
2315-43-7	386.65
2315-68-6	504.15
23163-86-2	522.65
23165-49-3	512.15
2317-91-1	249
23171-85-9	433.15
2318-18-5	527.15
2319-61-1	544.32
2320-30-1	455.65
23217-81-4	470.15
2323-81-1	478.65
2324-98-3	411.15
23256-30-6	403.75
23279-53-0	411.15
2328-24-7	536.15
23283-97-8	491.65
23287-26-5	508.15
23314-06-9	411.65
23377-53-9	346.15
23378-11-2	369.65
2338-29-6	371.65
2338-54-7	447.65
2339-78-8	520.15
23395-20-2	333.45
23399-70-4	513.15
23418-37-3	454.15
23431-48-3	487.65
23436-19-3	438.15
23438-77-9	481.15
2344-70-9	512.15
2344-80-1	371.65
2344-83-4	424.15
2345-27-9	551.15
2345-28-0	566.65
2345-38-2	405.35
2346-00-1	418.15
2346-81-8	396.15
23471-23-0	314.15
2348-82-5	341.65
23488-38-2	469.15
23495-12-7	351.35
2351-13-5	506.15
2351-33-9	387.15
2351-34-0	376.15
2351-97-5	447.15
23511-70-8	524.15
23511-78-6	478.15
23521-14-4	550.15
23521-49-5	408.65
2353-33-5	470.65
2356-61-8	270.15
23560-59-0	367.65
23564-06-9	392.15
2357-47-3	480.6
23578-35-0	457.15
2358-38-5	314.15
23580-52-1	461.15
23617-71-2	505.65
23619-59-2	503.65
2362-10-9	477.15
2362-12-1	508.15
2364-87-6	417.15
2365-26-6	344.95
2365-30-2	169.25
2366-36-1	366
2366-52-1	305.65
2367-76-2	413.4
2367-82-0	357.55
2367-91-1	400.15
23676-09-7	548.15
2370-12-9	426.15
2370-13-0	445.65
2370-14-1	481.15
2370-88-9	407.65
23708-56-7	501.15
2371-19-9	437.15
2373-51-5	378.15
23733-68-8	508.65
2374-14-3	368.15
23764-31-0	442.15
2378-02-1	318.15
23786-14-3	537.25
238-84-6	678.15
2381-21-7	683.15
