CAS	Chemical	C
99-12-7	1,3-dimethyl-5-nitrobenzene	-6.0263
632-15-5	3,4-dimethylthiophene	-18.8763
31283-14-4	3-ethylbenzothiophene	-9.372
1964-45-0	3,5-dimethylbenzothiophene	-10.8804
4151-69-3	ethyl tert-butyl disulfide	-14.833
10377-51-2	lithium iodide	-6.3189
237563	3-chloropropyltrichlorosilane	-9.9532
993-10-2	methylgermanium trichloride	-21.8304
10038-98-9	germanium tetrachloride	-22.7575
13465-78-6	monochlorosilane	-30.8836
7440-70-2	calcium	-34.8884
105-06-6	p-divinylbenzene	-12.0247
88-85-7	4,6-dinitro-o-sec-butylphenol	24.9797
148462-57-1	1-methoxy-2-propanol propanoate	-1.2491
13463-40-6	iron pentacarbonyl	-14.0571
10220-23-2	4-(2-methoxyethyl)morpholine	-4.7495
622-40-2	4-(2-hydroxyethyl)morpholine	12.1776
1559-81-5	1-methyltetralin	-11.752
13556-58-6	1-ethyltetralin	-9.0562
7440-63-3	xenon	-53.5898
23783-42-8	tetraethylene glycol monomethyl ether	24.1874
5650-20-4	tetraethylene glycol monoethyl ether	19.7545
4292-92-6	pentylcyclohexane	-7.5282
103554-13-8	(3s)-3-hexylbicyclo[4.4.0]decane	-7.5223
3074-71-3	2,3-dimethylheptane	-11.8633
359554	2,3-dimethylnonane	-5.9718
17312-44-6	2,3-dimethyldecane	-3.2578
17312-77-5	2,3-dimethylundecane	-1.0274
6117-98-2	2,3-dimethyldodecane	1.2687
61868-14-2	hexatriacont-1-ene	34.2232
695-12-5	1-cyclohexylethene	-17.621
1453-24-3	1-ethylcyclohex-1-ene	-18.1453
406-58-6	1,1,1,3,3-pentafluorobutane	-17.9427
163702-07-6	1,1,2,2,3,3,4,4,4-nonafluoro-1-methoxybutane	-9.7784
754-12-1	2,3,3,3-tetrafluoroprop-1-ene	-18.0463
29118-24-9	(1e)-1,3,3,3-tetrafluoroprop-1-ene	-12.3318
7209-38-3	3-[4-(3-aminopropyl)piperazin-1-yl]propan-1-amine	14.6126
4439-20-7	2-({2-[(2-hydroxyethyl)amino]ethyl}amino)ethan-1-ol	34.3621
3073-66-3	1,1,3-trimethylcyclohexane	-19.9984
10043-92-2	radon	-47.3174
90-04-0	2-methoxyaniline	-8.309
122-96-3	2-[4-(2-hydroxyethyl)piperazinyl]ethan-1-ol	3.8984
16462-44-5	(2s,3r,4r,5r,6r)-5-[(2s,4s,5s,3r,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)(2h-3,4,5,6-tetrahydropyran-2-yloxy)]-6-(hydroxymethyl)-2h-3,4,5,6-tetrahydropyran-2,3,4-triol	12.2577
13027-88-8	2-hydroxy-2-methylpropanamide	5.3314
2110-78-3	methyl 2-hydroxy-2-methylpropanoate	-0.3446
17860-39-8	methyl 2-methoxy-2-methylpropanoate	-8.4408
497-25-6	1, 3-oxazolidin-2-one	-10.9577
91-10-1	2,6-dimethoxyphenol	5.4562
