CAS	Chemical	C1	C2	C3	C4	Tmin	Hv at Tmin	Tmax	Hv  at Tmax 
287-23-0	Cyclobutane  	33340000	0.3395	0	0	182.48	28083000	459.93	0
110-82-7	Cyclohexane  	44902000	0.39881	0	0	279.69	33920000	553.8	0
108-93-0	Cyclohexanol  	91791000	0.6382	0	0	296.6	62221000	650.1	0
108-94-1	Cyclohexanone  	56772000	0.37431	0	0	242	47739000	653	0
110-83-8	Cyclohexene  	44405000	0.37479	0	0	169.67	38791000	560.4	0
287-92-3	Cyclopentane  	38911000	0.36111	0	0	179.28	33299000	511.7	0
142-29-0	Cyclopentene  	38107000	0.3543	0	0	138.13	34046000	507	0
75-19-4	Cyclopropane  	27672000	0.35588	0	0	145.59	23532000	398	0
1569-69-3	Cyclohexyl mercaptan  	56067000	0.38729	0	0	189.64	49220000	664	0
112-31-2	Decanal  	79073000	0.4129	0	0	267.15	64201000	674.2	0
124-18-5	Decane  	66126000	0.39797	0	0	243.51	54168000	617.7	0
334-48-5	Decanoic acid  	131070000	1.0674	-0.97372	0.40491	304.55	87931000	722.1	0
112-30-1	1-Decanol  	79041000	-1.36	4.0854	-2.3871	280.05	82959000	688	0
872-05-9	1-Decene  	66985000	0.76944	-0.79975	0.42379	206.89	53524000	616.6	0
143-10-2	Decyl mercaptan  	80617000	0.41045	0	0	247.56	67308000	696	0
764-93-2	1-Decyne  	69461000	0.42109	0	0	229.15	57192000	619.85	0
7782-39-0	Deuterium  	1657000	0.352	0	0	18.73	1309000	38.35	0
