Tc	Pc	c0	c1	c2	name	inchikey
738	2681400.38567	0.396992432416486	0.810713772237725	1.90560286496194	2,3-dihydro-1,1,4-7-tetramethyl-1H-indene	IFZVSOLCUIWLFW-UHFFFAOYSA-N
372.35	2336651.78652	1.08057747515738	0.968942590972461	0.878458982375185	difluorobis(trifluoromethoxy)methane	JBMJTZMGVDWHRJ-UHFFFAOYSA-N
889	2249390.7382	1.29580311933337	0.99997337264754	0.795073297985079	1,2,3,6,7,8-hexahydropyrene	MBAIEZXRGAOPKH-UHFFFAOYSA-N
721	2971006.06807	0.526204866759477	0.816515305904308	1.52877064902457	4,6-dimethylindan	BSYQUYXSAFIGLB-UHFFFAOYSA-N
676	2929404.66481	1.86152214610338	0.997654376596981	0.468748754011526	1-ethyl-2,3-dimethylbenzene	QUBBAXISAHIDNM-UHFFFAOYSA-N
707	4372497.3694	0.320309735726416	0.817377186752052	1.95301706661845	1,3-dihydroisobenzofuran	SFLGSKRGOWRGBR-UHFFFAOYSA-N
719	2052620.02683	0.534317944594045	0.827507501077612	2.25891533862944	n-hexyl levulinate	HBBVKEXMLPMFQQ-UHFFFAOYSA-N
398.07	3180762.04265	0.470488065830601	0.814690262679036	1.58580135707635	1,1,1,3,3,3-hexafluoropropane	NSGXIBWMJZWTPY-UHFFFAOYSA-N
427.73584	4309736.73701	0.918741670535602	0.999989810776017	0.68595072945922	bromochlorodifluoromethane	MEXUFEQDCXZEON-UHFFFAOYSA-N
499	1122427.69863	0.323249140998374	0.804676958099077	3.47893949225347	perfluoro-2,4,6,9,11,13-hexaoxatetradecane	JYLBBPMOCXISGF-UHFFFAOYSA-N
755	3028669.24525	0.887003256340695	0.946576152984658	1.37910353406231	azetidine, 1-(2-phenylethyl)-	VIXGVWUHPTYYAH-UHFFFAOYSA-N
444.88	3427785.85017	0.194429162932119	0.832057386930306	2.8633340598965	1,1,1-trifluoro-2-(difluoromethoxy)ethane	ZASBKNPRLPFSCA-UHFFFAOYSA-N
880	2902484.62515	0.54630819241297	0.827511267076727	1.6068963420231	benzo[h]quinoline	WZJYKHNJTSNBHV-UHFFFAOYSA-N
797	3578729.54575	1.31982068529607	0.999859945633168	0.869640725962695	4-chlorophthalic anhydride	BTTRMCQEPDPCPA-UHFFFAOYSA-N
693	4820123.43103	0.280556499763043	0.826681098532703	1.9398838713017	2-cyclohexen-1-one	FWFSEYBSWVRWGL-UHFFFAOYSA-N
804	1195873.41286	0.567646986581573	0.305615972808123	1.36837160907563	[R]-methyl 12-hydroxy-9-octadecenoate	XKGDWZQXVZSXAO-UHFFFAOYSA-N
308.60807928	6287173.30116	0.722961811443732	0.957785444207767	0.910352845779539	ethyne	HSFWRNGVRCDJHI-UHFFFAOYSA-N
906	2116685.09099	1.64002517924206	0.919283760629808	0.651584291109353	2,7-di-tert-butylfluorene	DFZYPLLGAQIQTD-UHFFFAOYSA-N
605	3432807.70679	0.377412413408854	0.824702387021534	1.55806632656041	1-methylethylcyclopentane	TVSBRLGQVHJIKT-UHFFFAOYSA-N
761	3539902.33129	1.20858401284134	0.999983851917215	0.959788423920773	5-fluoro-1,3-isobenzofurandione	XVMKZAAFVWXIII-UHFFFAOYSA-N
569.8	2686145.79995	0.809403388912127	0.925699661368446	1.18533227655618	(E)-2-octene	ILPBINAXDRFYPL-HWKANZROSA-N
763	3812619.79721	0.229922239893236	0.819305393286944	3.1259346210978	1,2-dichloro-3-nitrobenzene	CMVQZRLQEOAYSW-UHFFFAOYSA-N
543	1330357.10926	0.487392061208463	0.803481816742911	1.98851732982937	trans-perfluorodecahydronaphthalene	UWEYRJFJVCLAGH-IJWZVTFUSA-N
755	2876917.85024	0.368069167278638	0.810796261382042	1.78389441152429	cyclododecane	DDTBPAQBQHZRDW-UHFFFAOYSA-N
518	2486495.68721	1.29799704412604	0.899468872847246	0.631046952916108	butane, 2,3-dichloro-1,1,1,4,4,4-hexafluoro-, meso-	DRNMSWBRUAIIJO-UHFFFAOYSA-N
372.27454	8894418.06777	0.549412538578507	0.844347270970014	0.81820553503499	deuterium sulfide	RWSOTUBLDIXVET-ZSJDYOACSA-N
705	2236678.9857	1.13987598214644	0.963744850916022	0.932312078945465	1,2-dichlorononane	SAWALGNBNOPQEB-UHFFFAOYSA-N
380.085392	3135507.42542	0.170226394630399	0.838108072307569	2.67727037024284	1,1,1,2,2-pentafluoropropane	FDOPVENYMZRARC-UHFFFAOYSA-N
665	3181259.34852	0.929388658702223	0.913500223312995	0.88050467847793	2,2-dimethyl-3,4-dithiahexane	CLMXSBZIYJITQU-UHFFFAOYSA-N
510.2	3308035.30486	0.635041382053459	0.871717046496766	1.14939969220612	(Z)-3-hexene	ZQDPJFUHLCOCRG-WAYWQWQTSA-N
579	3061566.69945	0.858236687854524	0.908510237443387	0.861406913897344	1,1,2-trimethylcyclopentane	WINCSBAYCULVDU-UHFFFAOYSA-N
724	2788964.88679	0.325283390432945	0.814439058391714	2.25400063716935	2,3-dihydro-1,1,4,6-tetramethyl-1H-indene	PJPNYZCIGFQVQG-UHFFFAOYSA-N
318.666	3766491.77043	0.746297917753166	0.977519961374099	0.940250208610859	sulfur hexafluoride	SFZCNBIFKDRMGX-UHFFFAOYSA-N
657.4	3378985.56412	1.06956438119449	0.999853796185616	0.847297783871123	3,4-dithiaheptane	SNGRPWPVGSSZGV-UHFFFAOYSA-N
382.51	3632359.53267	0.36716688072352	0.819965353065159	1.71038696034805	trans-1,3,3,3-tetrafluoropropene	CDOOAUSHHFGWSA-OWOJBTEDSA-N
703	1632493.45925	0.246418651790887	0.809067673941578	3.36664489289741	1,2,4,5-tetraisopropylbenzene	ROXLYQQDLJJEBE-UHFFFAOYSA-N
685	2694389.12193	1.2790846877255	0.999999592676585	0.925861638321007	propyl levulinate	QOSMNYMQXIVWKY-UHFFFAOYSA-N
918	4531745.89094	0.40407270361971	0.814883673772868	1.67415271905224	phenoxathiin	GJSGGHOYGKMUPT-UHFFFAOYSA-N
375.007843524	2929204.03613	0.466167749966968	0.818750815649192	1.55807771884358	1,1,1,2,3,3,3-heptafluoropropane	YFMFNYKEUDLDTL-UHFFFAOYSA-N
651	2981132.0516	1.12234880194681	0.999952719899229	0.735626089609763	[1S-(1.alpha.,2.beta.,5.alpha.)]-2,6,6-trimethylbicyclo[3.1.1]heptane	XOKSLPVRUOBDEW-VGMNWLOBSA-N
459.9	3210082.1703	0.491552008527128	0.825884990329832	1.55197477356199	1,1,1,3,3-pentafluorobutane	WZLFPVPRZGTCKP-UHFFFAOYSA-N
574.4	2684562.84779	1.14710598157139	0.997145820086766	0.788941718562021	(Z)-2-octene	ILPBINAXDRFYPL-HYXAFXHYSA-N
523	5553223.11353	0.887716842977619	0.940775448328029	0.791776483786167	2,3-dihydrofuran	JKTCBAGSMQIFNL-UHFFFAOYSA-N
494	3784910.06896	0.149606670074661	0.840820618712403	2.70232739666192	1-bromo-1-chloro-2,2,2-trifluoroethane	BCQZXOMGPXTTIC-UHFFFAOYSA-N
564	2970581.89535	0.534723219720815	0.838018549527708	1.24357546825507	1,1,3-trimethylcyclopentane	OBKHYUIZSOIEPG-UHFFFAOYSA-N
535.210525	3746875.41072	1.10184394622354	0.999996502950599	0.778459331281551	1,2,3,5-tetrafluorobenzene	UHHYOKRQTQBKSB-UHFFFAOYSA-N
209.470054	5530245.13466	0.135494852672303	0.892790421173218	1.6789210497535	krypton	DNNSSWSSYDEUBZ-UHFFFAOYSA-N
545.4	3632488.52967	0.646761937297853	0.817390739239534	1.24563020136892	vinyl propanoate	UIWXSTHGICQLQT-UHFFFAOYSA-N
571	2681126.05001	1.05703634957835	0.959656306924792	0.857507817147624	(E)-3-octene	YCTDZYMMFQCTEO-FNORWQNLSA-N
653	3250085.38128	1.37370906457295	0.999592520071146	0.572565842896907	2-(ethyldithio)propane	PUUCPZKSTXFGOC-UHFFFAOYSA-N
527.6	3406316.65882	0.934845032020795	0.931548363340026	0.812150090001302	(E)-4,4-dimethyl-2-pentene	BIDIHFPLDRSAMB-AATRIKPKSA-N
772	3009883.43001	0.436066089861559	0.84307225639336	2.55119866950639	methyl p-nitrobenzoate	YOJAHJGBFDPSDI-UHFFFAOYSA-N
703	2389283.20819	0.652738572333887	0.881566556085412	2.03364692755305	isoamyl levulinate	NYIALINCMIXBSP-UHFFFAOYSA-N
412.397934332	3416946.17269	0.171801423740531	0.829276999616256	2.90407436854922	1,1,1,2,3,3-hexafluoropropane	FYIRUPZTYPILDH-UHFFFAOYSA-N
812	3767638.90287	0.406646565649299	0.858025290327111	2.42556069141177	2,4'-bipyridine	RMHQDKYZXJVCME-UHFFFAOYSA-N
