	CASRN	Formula	MW	c_0	c_1	c_2	c_3	c_4	Min T	Max T	Max w	No of points in corr	v_1	v_2	v_3	v_4	v_5	v_6	Min T	Max T	Max w	No of points in corr	a1	a2	a3	a4	a5	a6	Min T	Max T	Max w	No of points in corr
Potassium Sulfate	7778-80-5	K2SO4	174.25	0.00000710599369467468	0.000046555866279207	0.349566841181191	0.00751053641501126	4200.09377806549	0	98.67	0.1515	239	18.9683606630469	0.243208827264251	-3.21551610925377	0.000933793433022017	129432.401220151	2.39191765356123	0	89.5	0.154676370891761	214	-0.240046437916712	-0.0528238566534762	2.36974213828676	-9.72716113638373	-20.0642800985642	2.19019550338286	25	100	0.0796505246121183	43
Potassium Phosphate	7778-53-2	K3PO4	212.28	-1.36808308486373	1335.04870627511	-0.268093448711693	0.0174393508387694	1046.12029986562	24.85	25	0.20941	14	10.5972312040061	1.82300105973766	5.99474260737295	0.00471289303397524	6.61832367913971	-0.251139191085322	19.95	49.95	0.20941	42										
Potassium Bromide	7758-02-3	KBr	119.01	-13.151388032057	190.74540854419	5.39738604657711	0.0402662461365671	2153.22549041443	0	95	0.5037	266	348.31972605609	-0.000302529305665952	-349.153198551268	-0.00425795862818544	-1.10436123629246	0.763153789481199	0	95	0.462210081636261	347	-0.470191697436864	-0.0386189762044266	1.26311861244027	-0.316774223972059	4.52671849114736	1.29153678316931	25	25	0.104734296643408	20
Potassium Acetate	127-08-2	KCH3CO2	98.14	-12939.1226122242	69601.6517946745	116.599325442767	0.382632586300714	1096.8090489007	15	55	0.595485619513774	147	7.60301705616051	2.14228305604236	3.09296792559878	0.0120064715641766	2.29668291207659	2.0784796844586	15	55	0.595485619513774	148	-7.62511462002999	-1.29055806778198	-1.53844995966671	-1.91047308177145	1.59368747598982	0.299722877982071	35.5	35.5	0.5	10
Potassium Formate	590-29-4	KCHO2	84.1	436.744437704527	2573.31507721143	1.99555818412406	0.0061770465575551	781.316230322352	15	55	0.67767929089444	122	15.0439736461852	4.50859870181832	1.59236649313458	0.0113311753595004	81.008647201799	11.8959632390346	15	55	0.813113212585449	140										
Potassium Chloride	7447-40-7	KCl	74.56	-0.855928945959145	6.04073571306402	2.81787416217166	0.0253924645877338	2681.61723465886	5	125	0.264280379722009	655	6.48805967116487	1.31753131265255	-0.777820552977139	0.0927156022360008	-1.30020256174307	2.08120731758225	5	150	0.305566941364246	647	-1.63952917771592	-0.00779461704655488	0.328422657249137	-3.76872441235535	0.34049805034805	-0.147984783420473	5	140	0.257918289574322	315
Potassium Fluoride	7789-23-3	KF	58.1	23.7314012354672	28.2011361185139	0.172689396624695	0.00294068200202462	1995.76903655284	0	50	0.42402	158	15.9474406946872	1.77775733898718	2.33313475960908	0.00626808826408619	123.05098761449	4.03602875014602	5	55	0.424005271503755	98	-0.826204190838979	-0.0268623027926352	1.20540406192598	-8.87527923429119	0.0255762847590577	-0.537003046318255	25	130	0.0838846515500305	57
Potassium Dihydrogen Phosphate	7778-77-0	KH2PO4	136.09	0.175127099215153	0.0583801096029759	0.170194505848805	0.00323440066031267	3062.75144963697	20	40	0.232093739705569	41	36.3785800663642	1.73749994164305	1.06487577295583	0.023567553394377	-4.14048794130814	1.86546173718756	19.95	49.95	0.232093739705569	60										
Potassium Bicarbonate	298-14-6	KHCO3	100.11	0.0458479253730966	0.0749127808255568	0.505766905030703	0.00643951863958203	3163.65175558093	5	95	0.343778550607287	66	0.23545396225936	-1.07084725909778	2.35937892744089	0.0639877898997282	-1.00034737120549	0.501215910081986	25	25	0.247498512268066	12	-0.794017904625051	-0.0271669313221761	1.26345022968517	-2.42961055706828	1.81052003078051	0.0103420926372754	5	120	0.0950762196713155	106
Potassium Bisulfite	7773-03-7	KHSO3	120.17	0.00151457425562341	637.304013971751	2.22168261188274	0.00409719221953301	1494.96312982	25	25	0.106463573998002	8											-0.098348612074528	-0.0271669313221761	1.26345022968517	1.32817489336406	1.58633008011921	0.37641541684424	25	25	0.106463573998002	8
