CASRN	Chemical	T	Permittivity	A	B	C	D	Tmin	Tmax
106-44-5	p-Cresol	298.2	13.05	70.253	-0.2887	0.00031979		298	453
106-45-6	4-Methylbenzenethiol	323.2	4.74	8.7052	-0.015347	0.0000095238		323	358
106-46-7	p-Dichlorobenzene	328.2	2.3943	2.6999	-0.00035325	-0.0000017619		328	363
106-48-9	4-Chlorophenol	314.2	11.18	31.997	-0.094241	0.000088392		314	453
106-49-0	4-Methylaniline	333.2	5.058	7.8897	-0.010196	0.000005119		333	403
106-54-7	4-Chlorobenzenethiol	338.2	3.59						
106-61-6	Glycerol 1-acetate	242.2	38.57	106.53	-0.26439	-0.000062371		215	242
106-65-0	Dimethyl succinate	293.2	7.19	13.551	-0.023109	0.000005544		293	433
106-68-3	3-Octanone	303.2	10.5						
106-69-4	1,2,6-Hexanetriol	285.3	31.5	261.27	-1.4552	0.0022765		261	285
106-70-7	Methyl hexanoate	293.2	4.615						
106-73-0	Methyl heptanoate	293.2	4.355						
106-93-4	1,2-Dibromoethane	293.2	4.9612	6.7142	-0.00598			293	313
106-94-5	1-Bromopropane	293.2	8.09	17.769	-0.032599			274	328
106-95-6	3-Bromopropene	293.2	7						
106-97-8	Butane	295	1.7697	2.2379	-0.0013884	-0.00000066711		135	303
106-98-9	1-Butene	220	2.2195	2.9354	-0.003258			220	250
106-99-0	1,3-Butadiene	265	2.05	2.7674	-0.0026738			185	265
1067-08-9	3-Ethyl-3-methylpentane	291.49	1.9869	2.5983	-0.0028027	0.0000024195		292	324
107-03-9	1-Propanethiol	288.2	5.937	11.602	-0.01958			273	318
107-04-0	1-Bromo-2-chloroethane	283.2	7.41	19.493	-0.059054	0.000058036		263	363
107-05-1	3-Chloropropene	293.2	8.2						
107-06-2	1,2-Dichloroethane	293.2	10.42	24.404	-0.047892			293	343
107-07-3	2-Chloroethanol	293.2	25.8	111.55	-0.30149			140	175
107-08-4	1-Iodopropane	293.2	7.07	13.744	-0.022745			293	323
107-10-8	Propylamine	296.2	5.08	17.719	-0.059022	0.00005478		204	296
107-12-0	Propanenitrile	293.2	29.7	82.222	-0.22937	0.00017424		213	473
107-13-1	Acrylonitrile	293.2	33	111.09	-0.36806	0.00034879		233	413
107-15-3	1,2-Ethanediamine	293.2	13.82	48.922	-0.17021	0.00017262		273	333
107-18-6	Allyl alcohol	293.2	19.7	62.714	-0.14771	0.0000037879		213	303
107-19-7	Propargyl alcohol	293.2	20.8	99.895	-0.38911	0.00040776		213	293
107-21-1	1,2-Ethanediol	293.2	41.4	143.55	-0.48573	0.00046703		293	423
107-29-9	Acetaldoxime	298.2	4.7						
107-31-3	Methyl formate	288.2	9.2	19.699	-0.036429			288	302
107-39-1	2,4,4-Trimethyl-1-pentene	298.2	2.0908						
107-41-5	2-Methyl-2,4-pentanediol	293.2	25.86	145.31	-0.65285	0.00083503		203	333
107-46-0	Hexamethyldisiloxane	293.2	2.179	3.4537	-0.006153	0.0000061544		213	313
107-80-2	1,3-Dibromobutane	293.2	9.14	34.031	-0.13254	0.0001625		293	333
107-82-4	1-Bromo-3-methylbutane	291.5	6.33	27.743	-0.13927	0.00022627		123	292
107-83-5	2-Methylpentane	293.2	1.886	2.0745	0.00050871	-0.0000039286		273	323
107-84-6	1-Chloro-3-methylbutane	292	6.1	22.228	-0.093189	0.00012991		171	297
