CASRN	Chemical	sigma	epsilon
23314-57-0	Triarachidonin	10.74274	1160.74
2752-99-0	Trierucin	11.44706	1199.14
102-71-6	Triethanolamine	6.641	597.61
112-27-6	Triethylene glycol	6.09779	541.8
367-57-7	Trifluoroacetylacetone	5.81789	459.77
81913-24-8	Trinervonin	11.77257	1239.25
122-32-7	Triolein	11.78333	1269.36
303-98-0	Ubiquinone CoQ10	10.43527	1178.41
516-06-3	Valine	5.76242	574.28
121-33-5	Vanillin	5.94398	601.4
84-80-0	Vitamin K1	9.50177	1029.06
58-27-5	Vitamin K3	6.62867	691.84
7732-18-5	Water	3.24681	501.01
7440-63-3	Xenon	3.85754	224.23
87-99-0	Xylitol	5.64219	799.53
58-86-6	Xylose	5.43322	738.01
2835-81-6	α-Amino-n-butyric acid	5.59802	556.75
10016-20-3	α-Cyclodextrin	9.83007	1997.14
463-40-1	α-Linolenic acid	7.90702	603.72
80-56-8	α-Pinene	6.25044	489.17
59-02-9	α-Tocopherol	8.71108	746.37
7235-40-7	β-Carotene	10.08103	1122.89
7585-39-9	β-Cyclodextrin	10.34289	2159.46
127-91-3	β-Pinene	6.28262	497.68
506-26-3	γ-Linolenic acid	8.30482	742.25
1191-41-9	γ-Linolenic acid ethyl ester	7.87896	725.25
16326-32-2	γ-Linolenic acid methyl ester	8.32085	683.28
