CASRN	Name	Formula	A	B	C	Tmin	Tmax
109309-32-2	2,2-Di - p - toly butane 	C18H22 	-1.4205	-278.15	202.1	270	480
112-40-3	Dodecane 	C12H26 	-1.5578	-375.97	76.83	270	380
143-07-7	Dodecanoic acid 	C12H24O2 	-1.7935	-643.12	78.509	320	440
2487-77-6	Dodecyl thio palmitate 	C28H56OS 	-0.859	-327.41	153.05	340	370
112-95-8	Eicosane 	C20H42 	-1.5977	-509.04	81.873	310	500
64-17-5	Ethanol 	C2H6O 	-2.5972	-846.95	24.124	210	350
94-70-2	2 - Ethoxy benzenamine 	C8H11NO 	-1.0349	-191.08	188.2	270	380
621-33-0	3 - Ethoxy benzenamine 	C8H11NO 	-1.0694	-203.67	210.01	300	380
156-43-4	4 - Ethoxy benzenamine 	C8H11NO 	-1.1091	-226.14	191.43	290	380
103-73-1	Ethoxy benzene 	C8H10O 	-1.7732	-469.95	44.325	290	450
614-71-1	2 - Ethoxy toluene 	C9H12O 	-1.682	-425.29	60.601	280	450
621-32-9	3 - Ethoxy toluene 	C9H12O 	-1.6888	-429.81	50.995	290	450
104-93-8	4 - Ethoxy toluene 	C9H12O 	-1.8518	-530.68	21.765	280	450
141-78-6	Ethyl acetate 	C4H8O2 	-1.8721	-452.07	-3.4748	270	350
578-54-1	2 - Ethyl aniline 	C8H11N 	-0.924	-157.75	193.75	290	380
103-69-5	n - Ethylaniline 	C8H11N 	-1.5575	-348.74	111.51	370	480
100-41-4	Ethyl benzene 	C8H10 	-1.8421	-519.36	-18.754	270	410
105-54-4	Ethyl butyrate 	C 6H12O2 	0.3189	-56.932	409.09	280	330
123-66-0	Ethyl caproate 	C8H16O2 	-1.7822	-488.78	19.765	300	370
105-56-6	Ethyl cyano acetate 	C5H7NO2 	-1.9267	-648.38	13.921	350	480
1678-91-7	Ethyl cyclo hexane 	C8H16 	-1.5094	-338.98	56.684	270	320
107-15-3	Ethylene diamine 	C 2H8N2 	-1.8506	-458.11	72.151	290	390
107-21-1	Ethylene glycol 	C2H6O2 	-1.5448	-417.05	146.53	280	420
628-96-6	Ethylene glycol dinitrate 	C2H4N2O6 	-0.8971	-190.9	167.79	280	340
3741-38-6	Ethylene sulfite 	C 2H4SO3 	-1.2577	-316.63	96.579	290	350
459-72-3	Ethyl fluoro acetate 	C 4H7FO2 	-1.4366	-278.91	96.402	290	340
627-45-2	n-Ethyl formamide 	C 3H7NO 	-1.495	-403.12	79.019	290	350
109-94-4	Ethyl formate 	C3H6O 	-1.5771	-297.6	40.866	270	330
106-30-9	Ethyl heptanoate 	C9H18O2 	-1.5344	-360.05	72.643	270	380
104-76-7	2 - Ethyl - 1 - hexanol 	C8H18O 	-1.9651	-436.77	140.04	270	380
1632-16-2	2 - Ethyl - 1 - hexene 	C8H16 	-2.0166	-573.86	-46.195	290	380
97-64-3	Ethyl lactate 	C5H10O3 	-1.7088	-369.1	121.15	270	380
106-33-2	Ethyl laurate 	C14H28O2 	-1.6006	-474.53	70.2	300	370
613-97-8	n - Ethyl - n - methyl aniline 	C9H13N 	-1.619	-391.17	90.088	380	480
105-40-8	Ethyl - n - methyl carbamate 	C4H9NO2 	-1.5915	-354.47	127.89	290	380
124-06-1	Ethyl myrisate 	C16H32O2 	-1.0528	-250.11	149.25	300	370
5261-18-7	3 - Ethyl - 2 – oxazolidinone 	C5H9NO2 	-1.1644	-303.21	110.17	270	340
16112-60-0	4 - Ethyl - 2 – oxazolidinone 	C5H9NO2 	-1.3902	-367.67	180.81	280	340
628-97-7	Ethyl palmitate 	C 18H36O2 	-1.312	-375.53	116.66	300	370
105-37-3	Ethyl propionate 	C5H10O2 	-2.0255	-577.2	36.36	270	370
111-61-5	Ethyl stearate 	C20H40O2 	-1.2849	-383.58	120.19	300	370
352-93-2	Ethyl sulfide 	C2H10S 	-2.0494	-622.24	-73.352	270	370
101433-18-5	Ethyl tetra decanol 	C16H34O 	-2.049	-572.23	135.51	290	380
539-82-2	Ethyl valerate 	C7H14O2 	-1.6077	-368.04	52.281	270	380
97-53-0	Eugenol 	C10H12O2 	-1.0814	-207.8	191.38	270	380
7782-41-4	Fluorine 	F2 	-1.0425	-19.965	39.377	60	85
348-54-9	2 - Fluoro aniline 	C6H6FN 	-1.4778	-349.85	108.24	290	340
372-19-0	3 - Fluoro aniline 	C6H6FN 	-0.7425	-113.06	198.67	290	340
371-40-4	4 - Fluoro aniline 	C6H6FN 	-1.186	-247.24	144.82	290	340
371-62-0	2 - Fluoro ethanol 	C2H5FO 	-1.3059	-237.31	144.01	290	340
1493-27-2	1 - Fluoro - 2 - nitro benzene 	C6H4FNO2 	-0.9207	-190.52	152.29	290	340
402-67-5	1 - Fluoro - 3 - nitrobenzene 	C6H4FNO2 	-0.8976	-168.21	162.25	290	340
350-46-9	1 - Fluoro - 4 - nitrobenzene 	C6H4FNO2 	-0.8909	-168.55	167.51	300	340
592-50-7	1 - Fluoro pentane 	C5H11F 	-2.5312	-970.96	-168.92	290	340
451-80-9	2 - Fluoro phenetole 	C8H9FO 	-0.8508	-114.33	182.48	290	330
458-03-7	3 - Fluoro phenetole 	C8H9FO 	-0.6435	-59.589	215.27	290	340
459-26-7	4 - Fluoro phenetole 	C8H9FO 	-1.2889	-237.6	125.43	290	340
95-52-3	2 - Fluoro toluene 	C7H7F 	-1.9997	-617.09	-43.732	290	340
352-32-9	4 - Fluoro toluene 	C7H7F 	-1.7711	-463.94	-3.3819	290	340
75-12-7	Formamide 	CH3NO 	-2.0263	-559.54	78.757	270	320
64-18-6	Formic acid 	CH2O2 	-1.4442	-311.11	109.61	280	380
98-01-1	2 - Furaldehyde 	C5H4O2 	-1.3068	-288.9	102.72	270	380
8002-03-7	Ground nut oil 		-0.9621	-407.46	151.23	290	340
629-78-7	Hepta decane 	C17H36 	-1.8559	-630.57	35.939	300	580
142-82-5	Heptane 	C7H16 	-1.7163	-356.13	24.593	190	370
628-00-2	2 - Heptane thiol 	C7H16S 	-1.5611	-364.98	52.252	270	380
111-14-8	Heptanoic acid 	C7H14O2 	-1.72	-529.62	68.313	285	395
543-49-7	2 - Heptanol 	C7H16O 	-1.9431	-408.06	137.51	300	430
589-82-2	3 - Heptanol 	C7H16O 	-1.7334	-288.89	180.49	310	420
589-55-9	4 - Heptanol 	C7H16O 	-1.7847	-307.04	170.68	290	420
110-43-0	2 - Heptanone 	C7H14O 	-1.0164	-55.937	233.86	290	360
592-76-7	1 - Heptene 	C7H14 	-1.7028	-367.41	0.52937	270	370
112-06-1	Heptyl acetate 	C9H18O2 	-1.5679	-370.42	69.112	270	380
111-68-2	Heptyl amine 	C7H17N 	-2.5848	-937.05	-48.457	280	400
1639-09-4	Heptyl mercaptan 	C7H16S 	-1.5069	-354.88	61.388	270	380
