CASRN	Name	A	B	C	D	Tc	Pc	Tmin	Tmax
95-47-6	1,2-dimethylbenzene 	-7.60491	1.75383	-2.27531	-3.73771	630.33	3735000	247.98	630.33
108-38-3	1,3-dimethylbenzene 	-7.67717	1.8024	-2.47745	-3.66068	617.05	3538000	225.3	617.05
106-42-3	1,4-dimethylbenzene 	-7.71694	1.89119	-2.39695	-3.63026	616.23	3516000	286.41	616.23
124-07-2	octanoic acid 	-9.04015	2.16529	-8.66117	-4.69516	695	2640000	289.65	695
111-65-9	octane 	-8.04937	2.03865	-3.312	-3.648	568.95	2490000	216.38	568.95
111-87-5	1-octanol 	-10.01437	5.90629	-10.4026	-9.048	652.5	2860000	257.65	652.5
123-96-6	2-octanol 	-9.37352	4.7376	-8.3382	-11.646	638	2890000	241.55	638
104-76-7	2-ethyl-1-hexanol 	-9.61812	5.17861	-9.1144	-11.004	640.5	2799000	203.15	640.5
111-86-4	n-octanamine	-7.99396	1.40573	-2.98188	-6.60435	641	2617000	434.49	494.5
112-05-0	nonanoic acid 	-9.1009	2.49646	-9.98583	-2.13513	711	2430000	285.55	711
111-84-2	nonane 	-8.32886	2.25707	-3.8257	-3.732	594.9	2290000	219.66	594.9
143-08-8	1-nonanol 	-9.91542	5.1367	-8.8075	-12.497	671.5	2630000	268.15	671.5
91-20-3	naphthalene 	-7.61444	1.91553	-2.5075	-3.23	748.4	4050000	353.43	748.4
334-48-5	decanoic acid 	-9.0706	2.77535	-11.1014	-2.43545	726	2230000	304.55	726
124-18-5	decane 	-8.60643	2.44659	-4.2925	-3.908	617.65	2105000	243.51	617.65
112-30-1	1-decanol 	-9.75478	4.18634	-7.0572	-15.98	689	2410000	280.05	689
996-70-3	octamethylethenetetramine 	-8.33725	2.87447	-4.08037	-3.54204	680	2400000	357.7	485.2
1120-21-4	undecane 	-8.85076	2.60205	-4.7305	-4.081	638.85	1955000	247.571	638.85
112-42-5	1-undecanol 	-9.85733	3.97841	-6.6002	-16.691	705	2240000	288.45	705
102-25-0	1,3,5-triethylbenzene 	-9.35738	3.7883	-5.45184	-2.91351	679	2435000	371.64	534.7
702-79-4	1,3-dimethyltricyclo [3.3.1.13,7]decane 	-8.17338	3.28872	-3.47324	-2.48597	708	3000000	352.17	526.2
112-40-3	dodecane 	-9.08593	2.77846	-5.1985	-4.173	658.65	1830000	263.568	658.65
112-53-8	1-dodecanol 	-9.91901	3.61884	-5.8537	-18.204	720	2080000	296.95	720
629-50-5	tridecane 	-9.32959	2.89925	-5.555	-4.47	676	1710000	267.76	676
112-70-9	1-tridecanol 	-9.99402	3.36986	-5.4865	-18.592	734	1935000	303.75	734
1012-72-2	1,4-di(trimethylmethyl)benzene	-9.28468	3.89231	-5.55138	-3.34144	708	2300000	387.02	559.1
629-59-4	tetradecane 	-9.5447	3.06637	-6.007	-4.53	693	1610000	279.01	693
112-72-1	1-tetradecanol 	-10.13519	3.27661	-5.3447	-18.711	747	1810000	310.65	747
629-62-9	pentadecane 	-9.80239	3.29217	-6.5317	-4.584	708	1515000	283.072	708
629-76-5	1-pentadecanol 	-10.32431	3.32013	-5.4784	-18.263	759	1700000	317.05	759
544-76-3	hexadecane 	-10.03664	3.41426	-6.8627	-4.863	722	1435000	291.308	722
