CASRN	Chemical	Vm
12038-63-0	Rhenium(IV) sulfide	0.0000329390789473684
12038-67-4	Rhenium(VII) sulfide	0.000122560369609856
12039-07-5	Titanium(II) sulfide	0.0000207615584415584
12039-13-3	Titanium(IV) sulfide	0.00003323353115727
12039-15-5	Zirconium(IV) sulfide	0.0000401431524547804
12039-16-6	Titanium(III) sulfide	0.0000539126404494382
12039-19-9	Yttrium sulfide	0.000070802842377261
12039-35-9	Zinc antimonide	0.0000295685624012638
12039-55-3	Tantalum(IV) selenide	0.0000505776119402985
12039-76-8	Vanadium silicide (V3Si)	0.0000317387719298246
12039-79-1	Tantalum silicide	0.0000259429978118162
12039-80-4	Terbium silicide	0.0000322966966966967
12039-83-7	Titanium silicide	0.0000260095
12039-87-1	Vanadium silicide [VSi2]	0.0000242337104072398
12039-88-2	Tungsten silicide [WSi2]	0.0000258075268817204
12039-89-3	Ytterbium silicide	0.0000303992042440318
12039-90-6	Zirconium silicide	0.000030203893442623
12039-95-1	Tungsten silicide [W5Si3]	0.0000696847222222222
12040-00-5	Samarium(III) telluride	0.0000935047879616963
12040-02-7	Tin(II) telluride	0.0000378938461538461
12040-08-3	Strontium telluride	0.0000445590062111801
12041-50-8	Aluminum diboride	0.0000152363636363636
12041-54-2	Aluminum dodecaboride	0.0000614564705882353
12042-68-1	Calcium aluminate	0.0000530332214765101
12042-78-3	Calcium aluminate (β form)	0.0000888792763157895
12043-29-7	Aluminum telluride	0.0000970577777777778
12044-16-5	Iron arsenide	0.0000166582165605095
12044-42-7	Cobalt arsenide [CoAs2]	0.0000289966666666667
12044-49-4	Magnesium arsenide	0.0000707168253968254
12044-54-1	Arsenic(III) telluride	0.0000819446153846154
12045-01-1	Cobalt boride (Co2B)	0.000015886049382716
12045-15-7	Manganese boride (MnB)	0.0000101936434108527
12045-16-8	Manganese boride (Mn2B)	0.0000167620833333333
12045-19-1	Niobium boride (NbB)	0.0000138289333333333
12045-63-5	Titanium boride	0.0000158650684931507
12045-64-6	Zirconium boride	0.0000182894651539708
12045-87-3	Sodium tetraborate tetrahydrate	0.000140144102564103
12045-88-4	Sodium tetraborate pentahydrate	0.000154944680851064
12046-08-1	Barium hexaboride	0.0000463745412844037
12046-54-7	Strontium hexaboride	0.0000449823008849558
12047-27-7	Barium titanate [BaTiO3]	0.0000387362126245847
12047-79-9	Barium nitride	0.0000920489539748954
12048-50-9	Bismuth tetroxide	0.0000860641071428571
12048-51-0	Bismuth titanate	0.000149237707006369
12049-50-2	Calcium titanate	0.0000341565326633166
12052-42-5	Cobalt antimonide	0.0000205332954545455
12053-12-2	Chromium antimonide	0.0000244382559774965
12053-13-3	Chromium selenide	0.0000214688524590164
12053-26-8	Magnesium chromite	0.0000437034090909091
12053-27-9	Chromium nitride (Cr2N)	0.0000173527941176471
12053-39-3	Chromium(III) telluride	0.0000695414285714286
12054-48-7	Nickel(II) hydroxide	0.0000226117073170732
12054-85-2	Ammonium molybdate(VI) tetrahydrate	0.000494739791833467
12055-23-1	Hafnium(IV) oxide	0.0000217448347107438
12055-62-8	Holmium oxide	0.0000449297265160523
12056-90-5	Lanthanum silicide	0.0000390152
12057-24-8	Lithium oxide	0.0000148440139095877
12057-71-5	Magnesium nitride	0.0000372428044280443
12057-74-8	Magnesium phosphide	0.0000654674757281553
