CASRN	Chemical	Tm	Tb	rho
25402-50-0	Iodyl trifluoride	314.15		
25455-73-6	Silver[II] oxide [Ag2O2]			7440
25469-93-6	Neodymium(II) chloride	1114.15		
25502-05-0	Ytterbium(II) bromide	946.15		
2551-62-4	Sulfur hexafluoride			5.97
25583-20-4	Titanium nitride	3220.15		5210
25617-97-4	Gallium nitride			6100
25617-98-5	Indium nitride	1373.15		6880
25658-42-8	Zirconium nitride	3225.15		7090
25658-43-9	Uranium nitride	3078.15		14300
25659-31-8	Lead(II) iodate			6500
25764-08-3	Cerium nitride	2830.15		7890
25764-09-4	Praseodymium nitride			7460
25764-10-7	Lanthanum nitride			6730
25764-11-8	Neodymium nitride			7690
25764-15-2	Gadolinium nitride			9100
25817-87-2	Hafnium nitride	3583.15		13800
25895-60-7	Sodium cyanoborohydride			1120
25909-39-1	Platinum(III) chloride			5260
26124-86-7	Barium metaborate monohydrate			3300
26134-62-3	Lithium nitride	1086.15		1270
26342-61-0	Chromium phosphide			5250
2644-70-4	Hydrazine hydrochloride	362.15		1500
26508-33-8	Iron phosphide (FeP)			6070
26628-22-8	Sodium azide			1846
26686-77-1	Magnesium orthosilicate	2170.15		3210
2696-92-6	Nitrosyl chloride	213.55	267.65	2.676
2699-79-8	Sulfuryl fluoride	137.35	217.75	4.172
27016-73-5	Cobalt arsenide (CoAs)	1453.15		8220
27016-75-7	Nickel arsenide	1240.15		7770
27043-84-1	Zinc borate			3640
27133-66-0	Barium potassium chromate			3630
27218-16-2	Chlorine perchlorate	156.15		1810
27709-53-1	Potassium uranyl sulfate dihydrate			3360
27860-83-9	Zinc fluoroborate hexahydrate			2120
28041-86-3	Potassium cobalt(II) selenate hexahydrate			2510
28265-11-4	Hexadecaborane(20)	383.15		
28300-74-5	Antimony potassium tartrate trihydrate			2600
289-22-5	Cyclopentasilane	262.65	467.45	963
28950-34-7	Tetrasulfur tetranitride	451.35		
291-59-8	Cyclohexasilane	289.65	499.15	
298-14-6	Potassium hydrogen carbonate			2170
300-92-5	Aluminum distearate	418.15		
301-04-2	Lead(II) acetate	553.15		3250
301-08-6	Lead(II) 2-ethylhexanoate			1560
3012-65-5	Ammonium hydrogen citrate			1480
302-01-2	Hydrazine	274.69	386.7	1003.6
30708-80-6	Chlorosyl trifluoride	231.15	300.15	
30737-24-7	Thallium(I) oxalate			6310
30903-87-8	Lithium oxalate			2121.17
30937-52-1	Rhenium(V) fluoride	321.15	494.45	
3095-65-6	Ammonium hydrogen tartrate			1680
31052-14-9	Technetium(V) fluoride	323.15		
31052-43-4	Rubidium selenide	1006.15		3220
31083-74-6	Rubidium sulfide	698.15		2910
31234-26-1	Rhenium(VI) chloride	302.15		
3141-12-6	Arsenic(III) ethoxide		439.15	1210
31576-40-6	Osmium(V) fluoride	343.15	506.15	
3164-29-2	Ammonium tartrate			1601
32248-43-4	Samarium(II) iodide	793.15		
32287-65-3	Aluminum fluoride monohydrate			2170
3236-82-6	Niobium(V) ethoxide	278.15	476.15	1258
3251-23-8	Copper(II) nitrate	528.15		
32823-06-6	Aluminum metaphosphate	1798.15		2780
32839-04-6	Mercury(II) benzoate monohydrate	438.15		
333-20-0	Potassium thiocyanate	446.15		1880
3333-67-3	Nickel(II) carbonate			4389
33689-80-4	Actinium fluoride			7880
33689-81-5	Actinium bromide			5850
3396-11-0	Cesium acetate	467.15		
3486-35-9	Zinc carbonate			4434
3495-36-1	Cesium formate			1017
34979-62-9	Selenium chloride pentafluoride	254.15	277.65	
353-50-4	Carbonyl fluoride	161.89	188.58	2.698
35718-37-7	Xenon trifluoride undecafluoroantimonate	355.15		3980
35788-00-2	Copper(I) sulfite monohydrate			3830
36377-94-3	Dysprosium(II) iodide	932.15		
36509-15-6	Osmium(VI) tetrachloride oxide	305.15	473.15	
3687-31-8	Lead(II) arsenate			5800
37248-34-3	Potassium sulfide pentahydrate	333.15		
37265-86-4	Barium yttrium tungsten oxide	1743.15		
37265-91-1	Perbromyl fluoride	163.15		
37773-49-2	Platinum(IV) chloride			4300
3811-04-9	Potassium chlorate	630.15		2340
38680-84-1	Chloryl trifluoride	191.95	251.55	5.087
38989-47-8	Pentafluoroorthoselenic acid	311.15	320.15	
39290-85-2	Copper(II) borate			3859
3931-89-3	Phosphorothioc tribromide	310.95		2850
39368-69-9	Rhenium(V) chloride	493.15		4900
39409-82-0	Magnesium carbonate hydroxide tetrahydrate			2300
39416-30-3	Barium orthovanadate	980.15		5140
39733-35-2	Ammonium magnesium chloride hexahydrate			1460
39796-98-0	Xenon pentafluoride hexafluororuthenate	425.15		3790
39797-63-2	Xenon fluoride hexafluoroantimonate	383.15		3920
3982-91-0	Phosphorothioc trichloride	236.95	398.15	1635
409-21-2	Silicon carbide (hexagonal)	3103.15		3160
4109-96-0	Dichlorosilane	151.15	281.45	4.129
41422-43-9	Tetramethyldistibine	290.15		
41591-55-3	Hydroxylamine hydrobromide			2350
42246-24-2	Rhenium(VII) trioxyfluoride	420.15	437.15	
4255-07-6	Zinc oxalate dihydrate			2560
42739-38-8	Ammonium valerate	381.15		
43093-20-5	Tridecaborane(19)	317.15		
4485-12-5	Lithium stearate	493.15		
460-19-5	Cyanogen	245.32	252.05	2.127
463-58-1	Carbon oxysulfide	134.35	223.15	2.456
471-34-1	Calcium carbonate (calcite)	1073.15		2710
497-19-8	Sodium carbonate	1129.15		2540
504-64-3	Carbon suboxide	160.65	279.95	2.781
50432-32-1	Xenon fluoride hexafluoroarsenate	372.15		3620
506-64-9	Silver(I) cyanide			3950
506-65-0	Gold(I) cyanide			7200
506-66-1	Beryllium carbide	2400.15		1900
506-68-3	Cyanogen bromide	325.15	334.65	2015
506-77-4	Cyanogen chloride	266.6	286.15	1186.2
506-78-5	Cyanogen iodide	419.85		2840
506-80-9	Carbon diselenide	229.45	398.65	2682.32
507-16-4	Thionyl bromide	223.15	413.15	
50801-97-3	Samarium(II) bromide	942.15		
50813-65-5	Barium carbide			3740
513-74-6	Ammonium dithiocarbamate			1450
513-77-9	Barium carbonate	1828.15		4308
513-78-0	Cadmium carbonate			5026
513-79-1	Cobalt(II) carbonate			4200
5145-48-2	Magnesium carbonate dihydrate			2800
516-02-9	Barium oxalate			2658
51621-05-7	Ruthenium(III) fluoride			5360
51898-99-8	Bismuth molybdate			5950
52003-58-4	Ammonium lactate	365.15		
527-09-3	Copper(II) gluconate	429.15		
52788-53-1	Gadolinium(III) nitrate pentahydrate			2410
52988-75-7	3-Silylpentasilane	204.15	452.65	843
53214-07-6	Tellurium decafluoride	239.45	332.15	
5329-14-6	Sulfamic acid			2150
533-51-7	Silver(I) oxalate			5030
53319-44-1	Selenium oxytetrafluoride	285.15	338.15	
534-16-7	Silver(I) carbonate	491.15		6077
534-17-8	Cesium carbonate	1066.15		4240
5341-61-7	Hydrazine dihydrochloride			1420
53731-35-4	Manganese(II) pyrophosphate	1469.15		3710
540-69-2	Ammonium formate	389.15		1270
540-72-7	Sodium thiocyanate	560.15		
541-43-5	Barium formate			3210
54120-05-7	Osmium(IV) fluoride	503.15		
542-83-6	Cadmium cyanide			2230
542-84-7	Cobalt(II) cyanide			1872
543-80-6	Barium acetate			2470
543-90-8	Cadmium acetate	528.15		2340
543-94-2	Strontium acetate			2100
544-17-2	Calcium formate			2020
544-60-5	Ammonium oleate	294.15		
544-92-3	Copper(I) cyanide	747.15		2900
54496-71-8	Cobalt(III) fluoride dihydrate			2190
546-67-8	Lead(IV) acetate	448.15		2230
546-89-4	Lithium acetate	559.15		
546-93-0	Magnesium carbonate	1263.15		3010
5470-11-1	Hydroxylamine hydrochloride			1680
54804-32-9	Octabromotrisilane	319.15		
554-13-2	Lithium carbonate	1005.15		2110
555-75-9	Aluminum ethanolate	413.15		
557-05-1	Zinc stearate	403.15		1095
557-09-5	Zinc caprylate	409.15		
557-20-0	Zinc diethyl	245.15	391.15	1206.5
557-21-1	Zinc cyanide			1852
562-90-3	Silicon tetraacetate	383.15		
563-63-3	Silver(I) acetate			3260
563-67-7	Rubidium acetate	519.15		
563-68-8	Thallium(I) acetate	404.15		3680
563-71-3	Iron(II) carbonate			3944
563-72-4	Calcium oxalate			2200
56320-90-2	Cesium chromate(IV)	1255.15		4240
5714-22-7	Sulfur decafluoride	220.45		2080
57246-89-6	Rhenium(VII) dioxytrifluoride	363.15	458.55	
5743-04-4	Cadmium acetate dihydrate			2010
57804-25-8	Lanthanum sulfate octahydrate			2820
5794-28-5	Calcium oxalate monohydrate			2200
584-08-7	Potassium carbonate	1172.15		2290
584-09-8	Rubidium carbonate	1146.15		
58724-12-2	Cesium hydride	801.15		3420
5892-10-4	Bismuth basic carbonate			6860
590-28-3	Potassium cyanate			2050
590-29-4	Potassium formate	440.15		1910
5908-64-5	Barium acetate monohydrate			2190
5908-81-6	Barium tartrate			2980
592-04-1	Mercury(II) cyanide			4000
592-85-8	Mercury(II) thiocyanate			3710
592-87-0	Lead(II) thiocyanate			3820
592-89-2	Strontium formate	345.05		2693
593-26-0	Ammonium palmitate	295.15		
593-74-8	Dimethyl mercury		366.15	3170
593-91-9	Bismuth trimethyl	187.15	383.15	2300
593-95-3	Carbonyl bromide		337.65	2500
594-10-5	Trimethylstibine	211.15	354.15	1520
5951-19-9	Carbon sulfide selenide	188.15	357.65	1990
5968-11-6	Sodium carbonate monohydrate			2250
5970-45-6	Zinc acetate dihydrate			1735
5970-62-7	Zinc formate dihydrate			2207
5972-71-4	Ammonium hydrogen malate	433.15		1150
5972-72-5	Ammonium hydrogen oxalate monohydrate			1560
5972-76-9	Ammonium caprylate	348.15		
598-62-9	Manganese(II) carbonate			3700
598-63-0	Lead(II) carbonate			6582
6009-70-7	Ammonium oxalate monohydrate			1500
6018-89-9	Nickel(II) acetate tetrahydrate			1740
6046-93-1	Copper(II) acetate monohydrate	388.15		1880
6047-25-2	Iron(II) oxalate dihydrate			2280
60582-92-5	Magnesium acetate monohydrate			1550
60676-86-0	Silicon dioxide (vitreous)	1986.15	3223.15	2196
60763-24-8	Thorium(IV) selenide			8500
6080-56-4	Lead(II) acetate trihydrate			2550
60804-25-3	Rhodium(III) fluoride			5400
60864-26-8	Thulium(II) iodide	1029.15		
60922-26-1	Tungsten nitride [WN2]			7700
60950-56-3	Magnesium hexafluorosilicate hexahydrate			1790
60969-19-9	Thallium(I) hexafluorophosphate			4600
6100-05-6	Potassium citrate monohydrate			1980
61042-72-6	Magnesium carbonate pentahydrate			3040
6106-24-7	Sodium tartrate dihydrate			1545
6108-17-4	Lithium acetate dihydrate			1300
6108-23-2	Lithium formate monohydrate			1460
6131-90-4	Sodium acetate trihydrate			1450
6132-02-1	Sodium carbonate decahydrate			1460
6147-53-1	Cobalt(II) acetate tetrahydrate			1705
61519-37-7	Bromosyl trifluoride	268.15		
6156-78-1	Manganese(II) acetate tetrahydrate	353.15		1590
6159-44-0	Uranyl acetate dihydrate			2890
6160-34-5	Strontium formate dihydrate			2250
62-54-4	Calcium acetate			1500
62-76-0	Sodium oxalate			2340
627-34-9	Carbon subsulfide	272.15		1270
628-52-4	Chromium(II) acetate monohydrate			1790
628-86-4	Mercury(II) fulminate			4420
630-08-0	Carbon monoxide	68.13	81.65	1.145
6303-21-5	Phosphinic acid	299.65	403.15	1490
631-61-8	Ammonium acetate	387.15		1073
637-12-7	Aluminum stearate	388.15		1070
638-39-1	Tin(II) acetate	456.15		2310
6381-59-5	Potassium sodium tartrate tetrahydrate			1790
63972-04-3	Phosphorothioc triiodide	321.15		
64171-97-7	Thulium(II) bromide	892.15		
6424-20-0	Cobalt(II) formate dihydrate			2130
6484-52-2	Ammonium nitrate	442.85		1720
6487-39-4	Lanthanum carbonate octahydrate			2600
6487-48-5	Potassium oxalate monohydrate			2130
65202-12-2	Mercury(I) perchlorate tetrahydrate	337.15		
6533-73-9	Thallium(I) carbonate	546.15		7110
65530-47-4	Praseodymium(II) iodide	1031.15		
6556-16-7	Manganese(II) oxalate dihydrate			2450
6569-51-3	Borazine	215.15	326.15	824
660-60-6	Copper(II) stearate	523.15		
66778-21-0	Magnesium iodide hexahydrate			2350
68016-36-4	Barium thiocyanate trihydrate			2286
6834-92-0	Sodium metasilicate	1362.15		2610
6858-44-2	Sodium citrate pentahydrate			1860
6865-35-6	Barium stearate	433.15		1145
7047-84-9	Aluminum monostearate	428.15		1020
71595-75-0	Decaborane(16)	354.15		
71626-98-7	Calcium iodide hexahydrate			2550
73796-25-5	Strontium iodide hexahydrate			4400
74-90-8	Hydrogen cyanide	259.86	299.15	687.62
7429-90-5	Aluminum	933.473	2792.15	2700
7429-91-6	Dysprosium	1685.15	2840.15	8550
7429-92-7	Einsteinium	1133.15		
7439-88-5	Iridium	2719.15	4701.15	22562.2
7439-89-6	Iron	1811.15	3134.15	7870
7439-90-9	Krypton	115.78	119.735	3.425
7439-91-0	Lanthanum	1193.15	3737.15	6150
7439-92-1	Lead	600.612	2022.15	11300
7439-93-2	Lithium	453.65	1615.15	534
7439-94-3	Lutetium	1936.15	3675.15	9840
7439-95-4	Magnesium	923.15	1363.15	1740
7439-96-5	Manganese	1519.15	2334.15	7300
7439-97-6	Mercury	234.321	629.769	13533.6
7439-98-7	Molybdenum	2895.15	4912.15	10200
7439-99-8	Neptunium	917.15	4175.15	20200
7440-00-8	Neodymium	1289.15	3347.15	7010
7440-01-9	Neon	24.56	27.104	0.825
7440-02-0	Nickel	1728.15	3186.15	8900
7440-03-1	Niobium	2750.15	5014.15	8570
7440-04-2	Osmium	3306.15	5281.15	22587.2
7440-05-3	Palladium	1827.95	3236.15	12000
7440-06-4	Platinum	2041.35	4098.15	21500
7440-07-5	Plutonium	913.15	3501.15	19700
7440-08-6	Polonium	527.15	1235.15	9200
7440-09-7	Potassium	336.65	1032.15	890
7440-10-0	Praseodymium	1204.15	3793.15	6770
7440-11-1	Mendelevium	1100.15		
7440-12-2	Promethium	1315.15	3273.15	7260
7440-13-3	Protactinium	1845.15		15400
7440-14-4	Radium	969.15		5000
7440-15-5	Rhenium	3458.15	5863.15	20800
7440-16-6	Rhodium	2236.15	3968.15	12400
7440-17-7	Rubidium	312.45	961.15	1530
7440-18-8	Ruthenium	2606.15	4420.15	12100
7440-19-9	Samarium	1345.15	2067.15	7520
7440-20-2	Scandium	1814.15	3109.15	2990
7440-21-3	Silicon	1687.15	3538.15	2329.6
7440-22-4	Silver	1234.93	2435.15	10500
7440-23-5	Sodium	370.944	1156.09	970
7440-24-6	Strontium	1050.15	1650.15	2640
7440-25-7	Tantalum	3290.15	5728.15	16400
7440-26-8	Technetium	2430.15	4535.15	11000
7440-27-9	Terbium	1632.15	3503.15	8230
7440-28-0	Thallium	577.15	1746.15	11800
7440-29-1	Thorium	2023.15	5058.15	11700
7440-30-4	Thulium	1818.15	2223.15	9320
7440-31-5	Tin (white)	505.078	2859.15	7287
7440-32-6	Titanium	1943.15	3560.15	4506
7440-33-7	Tungsten	3687.15	5828.15	19300
7440-34-8	Actinium	1323.15	3473.15	10000
7440-35-9	Americium	1449.15	2284.15	12000
7440-36-0	Antimony (gray)	903.778	1860.15	6680
7440-37-1	Argon	83.81	87.302	1.633
7440-38-2	Arsenic (gray)	1090.15		5750
7440-39-3	Barium	1000.15	2118.15	3620
7440-40-6	Berkelium (β form)	1259.15		13250
7440-41-7	Beryllium	1560.15	2741.15	1850
7440-42-8	Boron	2350.15	4273.15	2340
7440-43-9	Cadmium	594.219	1040.15	8690
7440-45-1	Cerium	1072.15	3716.15	6770
7440-46-2	Cesium	301.65	944.15	1873
7440-47-3	Chromium	2180.15	2944.15	7150
7440-48-4	Cobalt	1768.15	3200.15	8860
7440-50-8	Copper	1357.77	2833.15	8960
7440-51-9	Curium	1618.15		13510
7440-52-0	Erbium	1802.15	3141.15	9070
7440-53-1	Europium	1095.15	1802.15	5240
7440-54-2	Gadolinium	1586.15	3546.15	7900
7440-55-3	Gallium	302.9146	2502.15	5910
7440-56-4	Germanium	1211.4	3106.15	5323.4
7440-57-5	Gold	1337.33	3109.15	19300
7440-58-6	Hafnium	2506.15	4873.15	13300
7440-59-7	Helium		4.222	0.164
7440-60-0	Holmium	1745.15	2973.15	8800
7440-61-1	Uranium	1408.15	4404.15	19100
7440-62-2	Vanadium	2183.15	3680.15	6000
7440-63-3	Xenon	161.4	165.051	5.366
7440-64-4	Ytterbium	1097.15	1469.15	6900
7440-65-5	Yttrium	1795.15	3618.15	4470
7440-66-6	Zinc	692.677	1180.15	7134
7440-67-7	Zirconium	2127.15	4679.15	6520
7440-68-8	Astatine	575.15		
7440-69-9	Bismuth	544.556	1837.15	9790
7440-70-2	Calcium	1115.15	1757.15	1540
7440-71-3	Californium	1173.15		15100
7440-72-4	Fermium	1800.15		
7440-73-5	Francium	294.15		
7440-74-6	Indium	429.75	2300.15	7310
7446-06-2	Polonium(IV) oxide			8900
7446-07-3	Tellurium dioxide	1006.15	1518.15	5900
7446-08-4	Selenium dioxide	633.15		3950
7446-09-5	Sulfur dioxide	197.65	263.1	2.619
7446-11-9	Sulfur trioxide (γ-form)	289.95	317.65	1900
7446-14-2	Lead(II) sulfate	1360.15		6290
7446-15-3	Lead(II) selenate			6370
7446-18-6	Thallium(I) sulfate	905.15		6770
7446-19-7	Zinc sulfate monohydrate			3200
7446-20-0	Zinc sulfate heptahydrate			1970
7446-21-1	Strontium selenate			4250
7446-22-2	Thallium(I) selenate			6875
7446-26-6	Zinc pyrophosphate			3750
7446-27-7	Lead(II) phosphate	1287.15		7010
7446-31-3	Zirconium(IV) sulfate tetrahydrate			2800
7446-32-4	Antimony(III) sulfate			3620
7446-33-5	Yttrium sulfate octahydrate			2600
7446-70-0	Aluminum chloride	465.75		2480
7447-39-4	Copper(II) chloride	871.15	1266.15	3400
7447-40-7	Potassium chloride	1044.15		1988
7447-41-8	Lithium chloride	883.15	1656.15	2070
7487-88-9	Magnesium sulfate	1410.15		2660
7487-94-7	Mercury(II) chloride	550.15	577.15	5600
7488-51-9	Lead(II) selenite	773.15		7000
7488-54-2	Rubidium sulfate	1339.15		3610
7488-55-3	Tin(II) sulfate			4150
7488-56-4	Selenium disulfide	373.15		
75-15-0	Carbon disulfide	161.05	319.15	1263.22
75-20-7	Calcium carbide	2573.15		2220
75-44-5	Carbonyl chloride	145.37	281.15	4.043
7543-51-3	Zinc phosphate tetrahydrate			3040
7550-35-8	Lithium bromide	823.15	1573.15	3464
7550-45-0	Titanium(IV) chloride	249.03	409.6	1730
7553-56-2	Iodine	386.85	457.55	4933
7558-79-4	Sodium hydrogen phosphate			1700
7580-67-8	Lithium hydride	965.15		780
75926-26-0	Selenium sulfide [Se2S6]	394.65		2440
75926-28-2	Selenium sulfide [Se4S4]			3290
75926-30-6	Selenium sulfide [Se6S2]	394.65		
7601-54-9	Sodium phosphate	1856.15		2540
7601-89-0	Sodium perchlorate			2520
7601-90-3	Perchloric acid	161.15		1770
7616-94-6	Perchloryl fluoride	126.15	226.4	4.187
7631-90-5	Sodium hydrogen sulfite			1480
7631-94-9	Sodium dithionate dihydrate			2190
7631-95-0	Sodium molybdate	960.15		3500
7631-99-4	Sodium nitrate	579.65		2261
7632-00-0	Sodium nitrite	557.15		2170
7632-51-1	Vanadium(IV) chloride	245.15	424.15	1816
7637-07-2	Boron trifluoride	146.35	173.25	2.772
7646-69-7	Sodium hydride	911.15		1390
7646-78-8	Tin(IV) chloride	239.08	387.3	2234
7646-79-9	Cobalt(II) chloride	1010.15	1322.15	3360
7646-85-7	Zinc chloride	598.15	1005.15	2907
7646-93-7	Potassium hydrogen sulfate	473.15		2320
7647-01-0	Hydrogen chloride	158.98	188.15	1.49
7647-10-1	Palladium(II) chloride	952.15		4000
7647-14-5	Sodium chloride	1073.85	1738.15	2170
7647-15-6	Sodium bromide	1020.15	1663.15	3200
7647-17-8	Cesium chloride	919.15	1570.15	3988
7647-18-9	Antimony(V) chloride	277.15		2340
7647-19-0	Phosphorus(V) fluoride	179.35	188.55	5.149
7664-38-2	Phosphoric acid	315.55	680.15	
7664-39-3	Hydrogen fluoride	189.79	293.15	0.818
7664-41-7	Ammonia	195.42	239.82	0.696
7664-93-9	Sulfuric acid	283.46	610.15	1830.2
7681-11-0	Potassium iodide	954.15	1596.15	3120
7681-38-1	Sodium hydrogen sulfate	588.15		2430
7681-49-4	Sodium fluoride	1269.15	1977.15	2780
7681-55-2	Sodium iodate	695.15		4280
7681-65-4	Copper(I) iodide	864.15	1563.15	5670
7681-82-5	Sodium iodide	934.15	1577.15	3670
7693-26-7	Potassium hydride	892.15		1430
7693-27-8	Magnesium hydride	600.15		1450
7697-37-2	Nitric acid	231.55	356.15	1512.92
7698-05-7	Hydrogen chloride-d	158.43	188.75	
7699-45-8	Zinc bromide	675.15	943.15	4500
7704-34-9	Sulfur (monoclinic)	388.36	717.76	2000
7704-98-5	Titanium hydride			3750
7704-99-6	Zirconium(II) hydride			5600
7705-07-9	Titanium(III) chloride		1233.15	2640
7705-08-0	Iron(III) chloride	580.75	589.15	2900
7718-54-9	Nickel(II) chloride	1304.15		3510
7718-98-1	Vanadium(III) chloride			3000
7719-09-7	Thionyl chloride	172.15	348.75	1631
7719-12-2	Phosphorus(III) chloride	180.15	349.15	1574
7720-78-7	Iron(II) sulfate			3650
7720-83-4	Titanium(IV) iodide	428.15	650.15	4300
7721-01-9	Tantalum(V) chloride	489.75	512.15	3680
7722-64-7	Potassium permanganate			2700
7722-76-1	Ammonium dihydrogen phosphate	463.15		1800
7722-84-1	Hydrogen peroxide	272.72	423.35	1440
7722-88-5	Sodium pyrophosphate	1261.15		2530
7723-14-0	Phosphorus (white)	317.3	553.65	1823
7726-95-6	Bromine	265.95	331.95	3102.8
7727-15-3	Aluminum bromide	370.65	528.15	3200
7727-18-6	Vanadyl trichloride	194.15	400.15	1829
7727-21-1	Potassium persulfate			2480
7727-37-9	Nitrogen	63.15	77.355	1.145
7727-43-7	Barium sulfate	1853.15		4490
7727-54-0	Ammonium peroxydisulfate			1982
7727-73-3	Sodium sulfate decahydrate			1460
7732-18-5	Water	273.15	373.124	997.025
7733-02-0	Zinc sulfate			3800
7757-79-1	Potassium nitrate	607.15		2105
7757-82-6	Sodium sulfate	1157.15		2700
7757-83-7	Sodium sulfite	1184.15		2630
7757-86-0	Magnesium hydrogen phosphate trihydrate			2130
7757-93-9	Calcium hydrogen phosphate			2920
7758-01-2	Potassium bromate			3270
7758-02-3	Potassium bromide	1007.15	1708.15	2740
7758-05-6	Potassium iodate			3890
7758-09-0	Potassium nitrite	711.15		1915
7758-16-9	Sodium dihydrogen pyrophosphate			1900
7758-29-4	Sodium tripolyphosphate	895.15		
7758-87-4	Calcium phosphate	1943.15		3140
7758-88-5	Cerium(III) fluoride	1703.15	2453.15	6157
7758-89-6	Copper(I) chloride	696.15	1763.15	4140
7758-94-3	Iron(II) chloride	950.15	1296.15	3160
7758-95-4	Lead(II) chloride	774.15	1224.15	5980
7758-97-6	Lead(II) chromate	1117.15		6120
7758-98-7	Copper(II) sulfate			3600
7758-99-8	Copper(II) sulfate pentahydrate			2286
7759-00-4	Manganese(II) metasilicate	1564.15		3480
7759-01-5	Lead(II) tungstate (stolzite)	1403.15		8240
7759-02-6	Strontium sulfate	1879.15		3960
7761-88-8	Silver(I) nitrate	483.15		4350
7772-98-7	Sodium thiosulfate			1690
7772-99-8	Tin(II) chloride	520.15	896.15	3900
7773-01-5	Manganese(II) chloride	923.15	1463.15	2977
7773-06-0	Ammonium sulfamate	404.15		
7774-29-0	Mercury(II) iodide (yellow)	529.15	624.15	6280
7774-34-7	Calcium chloride hexahydrate			1710
7775-09-9	Sodium chlorate	521.15		2500
7775-11-3	Sodium chromate	1067.15		2720
7775-19-1	Sodium metaborate	1239.15	1707.15	2460
7775-41-9	Silver(I) fluoride	708.15	1432.15	5852
7778-18-9	Calcium sulfate	1733.15		2960
7778-39-4	Arsenic acid hemihydrate	309.25		2500
7778-44-1	Calcium arsenate			3600
7778-50-9	Potassium dichromate	671.15		2680
7778-53-2	Potassium phosphate	1613.15		2564
7778-54-3	Calcium hypochlorite	373.15		2350
7778-74-7	Potassium perchlorate	798.15		2520
7778-77-0	Potassium dihydrogen phosphate			2340
7778-80-5	Potassium sulfate	1342.15		2660
7779-90-0	Zinc phosphate	1173.15		4000
7782-39-0	Hydrogen-d2	18.73	23.67	0.164
7782-40-3	Carbon (diamond)			3513
7782-41-4	Fluorine	53.48	85.04	1.553
7782-42-5	Carbon (graphite)			2200
7782-44-7	Oxygen	54.36	90.188	1.308
7782-49-2	Selenium (gray)	493.95	958.15	4809
7782-50-5	Chlorine	171.65	239.11	2.898
7782-61-8	Iron(III) nitrate nonahydrate			1680
7782-63-0	Iron(II) sulfate heptahydrate			1895
7782-64-1	Manganese(II) fluoride	1173.15		3980
7782-65-2	Germane	108.15	185.05	3.133
7782-68-5	Iodic acid			4630
7782-79-8	Hydrazoic acid	193.15	308.85	
7782-85-6	Sodium hydrogen phosphate heptahydrate			1700
7782-89-0	Lithium amide	653.15		1180
7782-91-4	Molybdenum(VI) acid monohydrate			3100
7782-92-5	Sodium amide	483.15		1390
7782-95-8	Sodium dihydrogen hypophosphate hexahydrate			1849
7783-00-8	Selenous acid			3000
7783-03-1	Tungstic acid			5500
7783-06-4	Hydrogen sulfide	187.65	213.6	1.393
7783-07-5	Hydrogen selenide	207.42	231.9	3.31
7783-08-6	Selenic acid	331.15		2950
7783-09-7	Hydrogen telluride	224.15	271.15	5.298
7783-11-1	Ammonium sulfite monohydrate			1410
7783-18-8	Ammonium thiosulfate			1678
7783-20-2	Ammonium sulfate			1770
7783-21-3	Ammonium selenate			2194
7783-26-8	Trisilane	155.75	326.05	739
7783-28-0	Ammonium hydrogen phosphate			1619
7783-29-1	Tetrasilane	183.25	381.25	792
7783-33-7	Potassium tetraiodomercurate(II)			4290
7783-34-8	Mercury(II) nitrate monohydrate			4300
7783-35-9	Mercury(II) sulfate			6470
7783-36-0	Mercury(I) sulfate			7560
7783-39-3	Mercury(II) fluoride			8950
7783-40-6	Magnesium fluoride	1536.15	2500.15	3148
7783-41-7	Fluorine monoxide	49.35	128.85	2.207
7783-42-8	Thionyl fluoride	143.65	229.35	3.518
7783-43-9	Selenium oxyfluoride	288.15	398.15	2800
7783-44-0	Difluorine dioxide	109.65		2.861
7783-46-2	Lead(II) fluoride	1103.15	1566.15	8440
7783-47-3	Tin(II) fluoride	488.15	1123.15	4570
7783-48-4	Strontium fluoride	1750.15	2733.15	4240
7783-49-5	Zinc fluoride	1145.15	1773.15	4900
7783-50-8	Iron(III) fluoride	640.15		3870
7783-51-9	Gallium(III) fluoride			4470
7783-52-0	Indium(III) fluoride	1445.15		4390
7783-53-1	Manganese(III) fluoride			3540
7783-54-2	Nitrogen trifluoride	66.36	144.4	2.902
7783-55-3	Phosphorus(III) fluoride	121.65	171.35	3.596
7783-56-4	Antimony(III) fluoride	560.15	649.15	4380
7783-57-5	Thallium(III) fluoride			8650
7783-58-6	Germanium(IV) fluoride			6.074
7783-59-7	Lead(IV) fluoride	873.15		6700
7783-60-0	Sulfur tetrafluoride	148.15	232.7	4.417
7783-61-1	Tetrafluorosilane	182.95	187.15	4.254
7783-62-2	Tin(IV) fluoride	715.15		4780
7783-63-3	Titanium(IV) fluoride	650.15		2798
7783-64-4	Zirconium(IV) fluoride	1183.15		4430
7783-66-6	Iodine pentafluoride	282.58	373.65	3190
7783-68-8	Niobium(V) fluoride	353.15	507.15	2700
7783-70-2	Antimony(V) fluoride	281.45	414.15	3100
7783-71-3	Tantalum(V) fluoride	370.05	502.65	4740
7783-72-4	Vanadium(V) fluoride	292.65	321.45	2500
7783-75-7	Iridium(VI) fluoride	317.15	326.75	4800
7783-77-9	Molybdenum(VI) fluoride	290.65	307.15	2540
7783-79-1	Selenium hexafluoride			7.887
