CASRN	Chemical	Tm	Tb	rho
12014-93-6	Cerium(III) sulfide	2723.15		5020
12015-73-5	Calcium fluorophosphate	1923.15		3201
12017-01-5	Cobalt(II) titanate			5000
12017-08-2	Cobalt(II) orthosilicate	1618.15		4630
12017-12-8	Cobalt silicide	1599.15		4900
12017-13-9	Cobalt(II) telluride			8800
12017-38-8	Cobalt(III) titanate			5100
12018-01-8	Chromium(IV) oxide			4890
12018-09-6	Chromium silicide [CrSi2]	1763.15		4910
12018-10-9	Copper(II) chromite			5400
12018-19-8	Zinc chromite			5290
12018-22-3	Chromium(III) sulfide			3800
12018-34-7	Chromium(II,III) oxide			6100
12018-36-9	Chromium silicide (Cr3Si)	2043.15		6400
12018-61-0	Cesium superoxide	705.15		3770
12019-11-3	Copper phosphide	1173.15		4200
12019-23-7	Copper(II) telluride			7090
12019-52-2	Copper(I) telluride	1400.15		4600
12019-88-4	Dysprosium nitride			9930
12020-14-3	Zirconium carbide	3805.15		6730
12020-21-2	Erbium nitride			10600
12020-28-9	Erbium silicide			7260
12020-39-2	Erbium telluride	1486.15		7110
12020-58-5	Europium nitride			8700
12020-65-4	Europium(II) sulfide			5700
12020-66-5	Europium(II) selenide			6450
12020-69-8	Europium(II) telluride	1799.15		6480
12021-68-0	Cobalt(II) hexafluorosilicate hexahydrate			2087
12022-95-6	Iron silicide	1683.15		6100
12022-99-0	Iron disilicide	1493.15		4740
12023-53-9	Iron phosphide (Fe3P)	1373.15		6740
12024-10-1	Gallium(II) sulfide	1238.15		3860
12024-11-2	Gallium(II) selenide	1233.15		5030
12024-14-5	Gallium(II) telluride	1097.15		5440
12024-20-3	Gallium suboxide			4770
12024-21-4	Gallium(III) oxide	2080.15		6000
12024-22-5	Gallium(III) sulfide	1363.15		3700
12024-24-7	Gallium(III) selenide	1210.15		4920
12024-27-0	Gallium(III) telluride	1063.15		5570
12024-81-6	Gadolinium(II) selenide	2443.15		8100
12025-19-3	Sodium germanate	1356.15		3310
12025-32-0	Germanium(II) sulfide	931.15		4100
12025-34-2	Germanium(IV) sulfide	1113.15		3010
