CASRN	RI	RIT
110-96-3	1.409	293.15
111-01-3	1.453	288.15
111-02-4	1.499	293.15
111-03-5	1.4626	293.15
111-06-8	1.4312	323.15
111-11-5	1.417	293.15
111-12-6	1.4464	293.15
111-13-7	1.4151	293.15
111-14-8	1.417	293.15
111-15-9	1.4054	293.15
111-18-2	1.4359	293.15
111-19-3	1.4684	291.15
111-20-6	1.422	406.15
111-24-0	1.5102	298.15
111-25-1	1.4478	293.15
111-26-2	1.418	293.15
111-27-3	1.4178	293.15
111-28-4	1.4981	293.15
111-29-5	1.4494	293.15
111-30-8	1.433	298.15
111-31-9	1.4496	293.15
111-34-2	1.4026	293.15
111-36-4	1.406	293.15
111-40-0	1.481	298.15
111-41-1	1.4863	293.15
111-42-2	1.4776	293.15
111-43-3	1.3809	293.15
111-44-4	1.451	293.15
111-45-5	1.4358	293.15
111-46-6	1.4472	293.15
111-47-7	1.4487	293.15
111-48-8	1.5211	293.15
111-49-9	1.4631	293.15
111-51-3	1.4621	298.15
111-55-7	1.4159	293.15
111-56-8	1.4585	297.15
111-60-4	1.431	333.15
111-61-5	1.4349	313.15
111-62-6	1.4515	293.15
111-64-8	1.4335	293.15
111-65-9	1.3944	298.15
111-66-0	1.4087	293.15
111-68-2	1.4251	293.15
111-69-3	1.438	293.15
111-70-6	1.4249	293.15
111-71-7	1.4113	293.15
111-74-0	1.434	293.15
111-75-1	1.4437	293.15
111-76-2	1.4198	293.15
111-77-3	1.4264	293.15
111-78-4	1.4905	298.15
111-81-9	1.4393	293.15
111-82-0	1.4319	293.15
111-83-1	1.4503	298.15
111-84-2	1.4058	293.15
111-85-3	1.4309	293.15
111-86-4	1.4292	293.15
111-87-5	1.4295	293.15
111-88-6	1.454	293.15
111-90-0	1.43	293.15
111-92-2	1.4177	293.15
111-96-6	1.4097	293.15
111-97-7	1.5047	293.15
1112-39-6	1.3708	293.15
1112-48-7	1.4561	293.15
1112-55-6	1.4625	293.15
1113-02-6	1.4987	293.15
1113-12-8	1.442	293.15
1113-68-4	1.4502	298.15
1114-51-8	1.4425	293.15
1114-71-2	1.4752	293.15
1114-76-7	1.4403	298.15
1115-12-4	1.3919	293.15
1115-30-6	1.4346	293.15
1116-24-1	1.4419	290.15
1116-39-8	1.4188	296.15
1116-40-1	1.4252	290.15
1116-54-7	1.4849	293.15
1116-61-6	1.4135	295.15
1116-76-3	1.451	292.15
111675-77-5	1.424	293.15
1117-55-1	1.4323	298.15
1117-59-5	1.4228	288.15
1117-61-9	1.4565	293.15
1117-71-1	1.498	292.15
111767-95-4	1.4272	298.15
111768-04-8	1.4226	293.15
1118-71-4	1.4589	293.15
1118-84-9	1.4398	293.15
1119-40-0	1.4242	293.15
1119-46-6	1.4555	293.15
1119-49-9	1.4388	298.15
1119-51-3	1.464	293.15
1119-60-4	1.4404	287.15
1119-65-9	1.423	293.15
112-04-9	1.4602	293.15
112-05-0	1.4343	292.15
112-06-1	1.415	293.15
112-12-9	1.4291	293.15
112-13-0	1.441	293.15
112-14-1	1.415	293.15
112-15-2	1.4213	293.15
112-16-3	1.4458	293.15
112-17-4	1.4273	293.15
112-20-9	1.4336	293.15
112-23-2	1.414	293.15
112-24-3	1.4971	293.15
112-25-4	1.4291	293.15
112-26-5	1.4592	298.15
112-27-6	1.4531	293.15
112-29-8	1.4557	293.15
112-30-1	1.4372	293.15
112-31-2	1.4287	293.15
112-32-3	1.4208	288.15
112-34-5	1.4306	293.15
112-36-7	1.4115	293.15
112-37-8	1.4294	318.15
112-38-9	1.4486	297.15
112-40-3	1.421	293.15
112-41-4	1.43	293.15
112-42-5	1.4392	293.15
112-43-6	1.45	293.15
112-44-7	1.452	293.15
112-48-1	1.4112	298.15
112-49-2	1.4224	293.15
112-52-7	1.4434	293.15
112-54-9	1.435	295.15
112-55-0	1.4589	293.15
112-57-2	1.5042	293.15
112-58-3	1.4204	293.15
112-60-7	1.4577	293.15
112-61-8	1.4367	313.15
112-62-9	1.4522	293.15
112-63-0	1.4638	293.15
112-66-3	1.4439	293.15
112-67-4	1.4514	293.15
112-71-0	1.4603	293.15
112-73-2	1.4235	293.15
112-76-5	1.4523	297.15
112-79-8	1.4499	318.15
112-80-1	1.4582	293.15
112-82-3	1.4618	298.15
112-85-6	1.427	373.15
112-86-7	1.4758	293.15
112-88-9	1.4448	293.15
112-89-0	1.4631	293.15
112-91-4	1.4566	293.15
112-95-8	1.4425	293.15
1120-16-7	1.4287	383.15
1120-21-4	1.4164	293.15
1120-28-1	1.4317	333.15
1120-36-1	1.4351	293.15
1120-48-5	1.4415	299.15
1120-56-5	1.421	293.15
1120-62-3	1.4216	293.15
1120-64-5	1.434	293.15
1120-72-5	1.4364	293.15
1120-73-6	1.4762	288.15
1120-87-2	1.5694	293.15
1120-97-4	1.4159	293.15
1121-18-2	1.4833	293.15
1121-37-5	1.467	293.15
1121-55-7	1.553	293.15
1121-60-4	1.5389	291.15
1121-92-2	1.472	293.15
1122-42-5	1.5992	290.15
1122-54-9	1.5282	298.15
1122-60-7	1.4612	292.15
1122-62-9	1.5203	293.15
1122-81-2	1.4966	293.15
1122-82-3	1.5375	293.15
1122-83-4	1.627	293.15
1123-00-8	1.4523	291.15
1123-09-7	1.4812	293.15
1123-27-9	1.467	298.15
1123-34-8	1.4756	295.15
1123-84-8	1.5798	293.15
1123-85-9	1.5582	275.15
1126-09-6	1.4591	293.15
1126-78-9	1.5341	293.15
1126-79-0	1.4969	293.15
1127-76-0	1.6062	293.15
1128-08-1	1.4767	293.15
1129-89-1	1.484	293.15
113-18-8	1.474	298.15
1131-16-4	1.5738	292.15
1132-39-4	1.55	293.15
1134-62-9	1.5777	293.15
114-91-0	1.4975	293.15
114489-96-2	1.4247	293.15
1148-11-4	1.531	293.15
115-07-1	1.3567	203.15
115-11-7	1.3926	248.15
115-17-3	1.5939	293.15
115-19-5	1.4207	293.15
115-20-8	1.4861	293.15
115-21-9	1.4256	293.15
115-26-4	1.4267	293.15
115-31-1	1.512	298.15
115-67-3	1.449	298.15
115-70-8	1.49	293.15
115-71-9	1.5023	293.15
115-76-4	1.4574	298.15
115-77-5	1.548	
115-80-0	1.4	298.15
115-84-4	1.4587	298.15
115-95-7	1.446	293.15
115-96-8	1.4721	293.15
116-09-6	1.4295	293.15
116-15-4	1.583	233.15
116-16-5	1.5112	293.15
116-17-6	1.4085	298.15
116-26-7	1.5281	292.15
116-54-1	1.4429	293.15
116783-23-4	1.368	298.15
116836-32-9	1.407	293.15
117-81-7	1.4853	293.15
118-44-5	1.6477	288.15
118-58-1	1.5805	293.15
118-61-6	1.5296	293.15
118-69-4	1.5507	293.15
118-74-1	1.5691	296.15
118-90-1	1.512	388.15
118-93-4	1.5584	293.15
1185-33-7	1.4208	293.15
1185-55-3	1.3696	293.15
1186-53-4	1.4147	293.15
1187-03-7	1.4474	293.15
1187-58-2	1.4345	298.15
1188-33-6	1.4007	293.15
1189-08-8	1.4495	298.15
1189-71-5	1.4467	293.15
1189-99-7	1.4149	293.15
119-27-7	1.546	288.15
119-33-5	1.5744	313.15
119-36-8	1.535	293.15
119-60-8	1.486	293.15
119-61-9	1.6077	292.15
119-64-2	1.5413	293.15
119-65-3	1.6148	293.15
119-84-6	1.5563	293.15
1190-22-3	1.4445	293.15
1190-39-2	1.4262	293.15
1190-63-2	1.441	343.15
1190-83-6	1.4078	293.15
1191-04-4	1.446	313.15
1191-08-8	1.529	293.15
1191-41-9	1.4694	293.15
1191-43-1	1.511	293.15
1191-95-3	1.4215	293.15
1191-96-4	1.3786	293.15
1191-99-7	1.4239	293.15
1192-18-3	1.4222	293.15
1192-30-9	1.485	293.15
1192-37-6	1.4523	293.15
1192-62-7	1.5017	293.15
1192-88-7	1.5005	293.15
1193-18-6	1.49475	293.15
1193-47-1	1.4486	293.15
1193-81-3	1.4656	293.15
1193-82-4	1.5885	293.15
1194-02-1	1.4925	328.15
1195-32-0	1.5283	296.15
1195-42-2	1.448	293.15
1198-37-4	1.6075	293.15
120-15-0	1.5718	293.15
120-20-7	1.5464	293.15
120-29-6	1.4811	373.15
120-43-4	1.476	298.15
120-51-4	1.568	293.15
120-62-7	1.53	298.15
120-75-2	1.6092	292.15
120-80-9	1.604	298.15
120-82-1	1.5717	293.15
120-85-4	1.4433	293.15
120-92-3	1.4366	293.15
120-94-5	1.4247	293.15
1200-14-2	1.5265	
1201-38-3	1.5441	293.15
1205-64-7	1.635	293.15
121-14-2	1.442	
121-17-5	1.4893	293.15
121-21-1	1.5192	291.15
121-29-9	1.5258	293.15
121-43-7	1.3568	293.15
121-44-8	1.401	293.15
121-45-9	1.4095	293.15
121-46-0	1.4702	293.15
121-50-6	1.4975	293.15
121-69-7	1.5582	293.15
121-71-1	1.5348	382.15
121-72-2	1.5492	293.15
121-73-3	1.5374	353.15
121-75-5	1.496	293.15
121-86-8	1.547	342.15
1210-35-1	1.6324	293.15
122-00-9	1.5335	293.15
122-01-0	1.5756	293.15
122-03-2	1.5301	293.15
122-07-6	1.4115	293.15
122-32-7	1.4676	288.15
122-35-0	1.5178	293.15
122-40-7	1.5381	293.15
122-42-9	1.4989	364.15
122-46-3	1.4978	293.15
122-51-0	1.3922	293.15
122-52-1	1.4127	293.15
122-60-1	1.5307	294.15
122-62-3	1.451	298.15
122-70-3	1.495	293.15
122-73-6	1.4792	293.15
122-78-1	1.5255	293.15
122-79-2	1.5035	293.15
122-84-9	1.5253	293.15
122-97-4	1.5357	298.15
122-98-5	1.576	293.15
122-99-6	1.534	293.15
123-00-2	1.4762	293.15
123-01-3	1.4824	293.15
123-02-4	1.4821	293.15
123-04-6	1.4319	293.15
123-05-7	1.4142	293.15
123-07-9	1.5239	298.15
123-08-0	1.5705	403.15
123-11-5	1.573	293.15
123-19-3	1.4069	293.15
123-25-1	1.4201	293.15
123-29-5	1.422	293.15
123-31-9	1.632	298.15
123-32-0	1.498	293.15
123-35-3	1.4722	293.15
123-38-6	1.3636	293.15
123-39-7	1.4319	293.15
123-42-2	1.4213	293.15
123-51-3	1.4053	293.15
123-54-6	1.4494	293.15
123-62-6	1.4038	293.15
123-63-7	1.4049	293.15
123-66-0	1.4073	293.15
123-72-8	1.3843	293.15
